base_au_rank,base_au_id,au_id,site_series_id,site_series_label,site_series_split_applied,site_series_split_threshold,base_au_area_share_for_split,source_fragment_count,forest_cover_id_count,covered_area_ha,covered_area_share,base_au_area_ha,base_au_area_share,base_au_cumulative_area_share,site_series_share_of_base_au
3,cwh_dm_x_hw_cw,cwh_dm_x_hw_cw_ss04,ss04,Fd - Swordfern (04),True,0.04,0.08,13,12,51.15369948897544,0.010632985133046871,392.86579151444016,0.08166244401064338,0.37207746800849567,0.13020655041454593
3,cwh_dm_x_hw_cw,cwh_dm_x_hw_cw_ss12,ss12,CwSs - Skunk cabbage (12),True,0.04,0.08,9,6,20.18695962358121,0.004196131339537172,392.86579151444016,0.08166244401064338,0.37207746800849567,0.05138385692926695
3,cwh_dm_x_hw_cw,cwh_dm_x_hw_cw_ss07,ss07,Cw - Foamflower (07),True,0.04,0.08,11,9,18.319706260564057,0.0038079975887637374,392.86579151444016,0.08166244401064338,0.37207746800849567,0.046630953002918044
3,cwh_dm_x_hw_cw,cwh_dm_x_hw_cw_ss02,ss02,FdPl - Cladina (02),True,0.04,0.08,5,4,11.161116008227234,0.002319988227034654,392.86579151444016,0.08166244401064338,0.37207746800849567,0.028409488047311943
3,cwh_dm_x_hw_cw,cwh_dm_x_hw_cw_ssnonforested,ssnonforested,Non-forested,True,0.04,0.08,1,1,3.624870662629891,0.0007534781697122054,392.86579151444016,0.08166244401064338,0.37207746800849567,0.00922674038036385
3,cwh_dm_x_hw_cw,cwh_dm_x_hw_cw_ss01,ss01,HwBa - Blueberry (01),True,0.04,0.08,5,2,3.2099390397548646,0.0006672290455757971,392.86579151444016,0.08166244401064338,0.37207746800849567,0.008170574046116407
3,cwh_dm_x_hw_cw,cwh_dm_x_hw_cw_ssnonforestedaquatic,ssnonforestedaquatic,Non-forested: aquatic,True,0.04,0.08,4,3,2.5593033978764277,0.0005319856677509963,392.86579151444016,0.08166244401064338,0.37207746800849567,0.006514447053307154
3,cwh_dm_x_hw_cw,cwh_dm_x_hw_cw_ss03,ss03,HwCw - Salal (03),True,0.04,0.08,3,3,0.7635427760648978,0.00015871264576070655,392.86579151444016,0.08166244401064338,0.37207746800849567,0.001943520643835016
4,cwh_dm_x_fdc_hw,cwh_dm_x_fdc_hw_ss01,ss01,Hw - Flatmoss (01),True,0.04,0.07,38,35,111.78905902527835,0.023236860960745565,353.646914337191,0.07351027237640301,0.4455877403848986,0.3161035894652005
4,cwh_dm_x_fdc_hw,cwh_dm_x_fdc_hw_ss05,ss05,Cw - Swordfern (05),True,0.04,0.07,35,23,70.08956378859658,0.01456905946570893,353.646914337191,0.07351027237640301,0.4455877403848986,0.19819079694208339
4,cwh_dm_x_fdc_hw,cwh_dm_x_fdc_hw_ss04,ss04,Fd - Swordfern (04),True,0.04,0.07,9,8,65.32119563948616,0.013577889948256679,353.646914337191,0.07351027237640301,0.4455877403848986,0.18470738183001506
4,cwh_dm_x_fdc_hw,cwh_dm_x_fdc_hw_ss03,ss03,FdHw - Salal (03),True,0.04,0.07,16,11,56.77986816278125,0.011802460038326872,353.646914337191,0.07351027237640301,0.4455877403848986,0.16055524835894217
4,cwh_dm_x_fdc_hw,cwh_dm_x_fdc_hw_ss07,ss07,Cw - Foamflower (07),True,0.04,0.07,22,12,34.35831998659707,0.007141839383340972,353.646914337191,0.07351027237640301,0.4455877403848986,0.09715430445927067
4,cwh_dm_x_fdc_hw,cwh_dm_x_fdc_hw_ss02,ss02,FdPl - Cladina (02),True,0.04,0.07,6,4,13.049522372110596,0.002712518913825946,353.646914337191,0.07351027237640301,0.4455877403848986,0.036899862102764726
4,cwh_dm_x_fdc_hw,cwh_dm_x_fdc_hw_ss12,ss12,CwSs - Skunk cabbage (12),True,0.04,0.07,1,1,1.6938024446593776,0.00035207964218234364,353.646914337191,0.07351027237640301,0.4455877403848986,0.0047895298276076324
4,cwh_dm_x_fdc_hw,cwh_dm_x_fdc_hw_ss03,ss03,HwCw - Salal (03),True,0.04,0.07,1,1,0.5655829176816426,0.0001175640240157072,353.646914337191,0.07351027237640301,0.4455877403848986,0.0015992870141159422
