forest_cover_id,au_id,assignment_weight_basis,fragment_record_count,candidate_au_count,dominant_weight,total_weight,weight_share,tie_break_used,bec_zone,bec_subzone,bec_variant,leading_species_1,leading_species_2,age_2020,site_index,origin_class,fire_origin_min_age,is_fire_origin,is_logging_origin
295,cwh_dm_x_fdc_cw,shape_area_ha,2,1,4.544628408949034,4.544628408949034,1.0,False,cwh,dm,x,fdc,cw,14.0,23.0,logging_origin,80.0,False,True
332,cwh_dm_x_fdc_cw,shape_area_ha,4,1,5.820105000568692,5.820105000568692,1.0,False,cwh,dm,x,fdc,cw,5.0,28.0,logging_origin,80.0,False,True
333,cwh_dm_x_fdc_cw,shape_area_ha,3,1,6.4697619460303235,6.4697619460303235,1.0,False,cwh,dm,x,fdc,cw,6.0,30.0,logging_origin,80.0,False,True
343,cwh_dm_x_fdc_cw,shape_area_ha,1,1,0.7544836309328713,0.7544836309328713,1.0,False,cwh,dm,x,fdc,cw,49.0,42.0,logging_origin,80.0,False,True
396,cwh_dm_x_fdc_cw,shape_area_ha,1,1,1.944378849256761,1.944378849256761,1.0,False,cwh,dm,x,fdc,cw,174.0,31.0,fire_origin,80.0,True,False
400,cwh_dm_x_fdc_cw,shape_area_ha,1,1,18.119274856590412,18.119274856590412,1.0,False,cwh,dm,x,fdc,cw,151.0,32.0,fire_origin,80.0,True,False
437,cwh_dm_x_fdc_cw,shape_area_ha,1,1,10.477086433717664,10.477086433717664,1.0,False,cwh,dm,x,fdc,cw,149.0,28.0,fire_origin,80.0,True,False
449,cwh_dm_x_fdc_cw,shape_area_ha,2,1,1.4230680837662724,1.4230680837662724,1.0,False,cwh,dm,x,fdc,cw,114.0,33.0,fire_origin,80.0,True,False
485,cwh_dm_x_fdc_cw,shape_area_ha,1,1,7.442267341662399,7.442267341662399,1.0,False,cwh,dm,x,fdc,cw,134.0,32.0,fire_origin,80.0,True,False
491,cwh_dm_x_fdc_cw,shape_area_ha,1,1,10.56185043109947,10.56185043109947,1.0,False,cwh,dm,x,fdc,cw,149.0,27.0,fire_origin,80.0,True,False
532,cwh_dm_x_fdc_cw,shape_area_ha,1,1,3.358095976795308,3.358095976795308,1.0,False,cwh,dm,x,fdc,cw,104.0,24.0,fire_origin,80.0,True,False
535,cwh_dm_x_fdc_cw,shape_area_ha,3,1,3.924900972354551,3.924900972354551,1.0,False,cwh,dm,x,fdc,cw,134.0,29.0,fire_origin,80.0,True,False
536,cwh_dm_x_fdc_cw,shape_area_ha,1,1,0.1816605097798694,0.1816605097798694,1.0,False,cwh,dm,x,fdc,cw,104.0,24.0,fire_origin,80.0,True,False
623,cwh_dm_x_fdc_cw,shape_area_ha,1,1,5.687838456488747,5.687838456488747,1.0,False,cwh,dm,x,fdc,cw,149.0,28.0,fire_origin,80.0,True,False
625,cwh_dm_x_fdc_cw,shape_area_ha,1,1,0.6669325823728633,0.6669325823728633,1.0,False,cwh,dm,x,fdc,cw,149.0,18.0,fire_origin,80.0,True,False
