au_id,managed_curve_id,age,volume,height,dbhq,tph,gross_yield,crown_cover
cwh_vm_1_hw_fdc,60008,110,925.9,35.9,,,1066.8,94.5
cwh_vm_1_hw_fdc,60008,120,987.2,37.4,,,1147.6,94.0
cwh_vm_1_hw_fdc,60008,130,1045.0,38.7,,,1225.6,93.5
cwh_vm_1_hw_fdc,60008,140,1096.6,39.8,,,1297.6,93.0
cwh_vm_1_hw_fdc,60008,150,1143.0,40.8,,,1363.7,92.5
cwh_vm_1_hw_fdc,60008,160,1183.4,41.7,,,1423.8,92.0
cwh_vm_1_hw_fdc,60008,170,1218.6,42.6,,,1478.0,91.5
cwh_vm_1_hw_fdc,60008,180,1246.1,43.3,,,1525.0,91.0
cwh_vm_1_hw_fdc,60008,190,1269.9,44.0,,,1567.5,90.4
cwh_vm_1_hw_fdc,60008,200,1292.3,44.6,,,1608.0,89.9
cwh_vm_1_hw_fdc,60008,210,1313.6,45.2,,,1646.8,89.4
cwh_vm_1_hw_fdc,60008,220,1333.6,45.7,,,1683.7,88.9
cwh_vm_1_hw_fdc,60008,230,1350.9,46.2,,,1717.8,88.3
cwh_vm_1_hw_fdc,60008,240,1365.9,46.6,,,1749.3,87.8
cwh_vm_1_hw_fdc,60008,250,1378.8,47.1,,,1778.5,87.3
cwh_vm_1_hw_fdc,60008,260,1388.4,47.4,,,1804.7,86.8
cwh_vm_1_hw_fdc,60008,270,1396.4,47.8,,,1829.0,86.3
cwh_vm_1_hw_fdc,60008,280,1403.2,48.1,,,1851.7,85.7
cwh_vm_1_hw_fdc,60008,290,1408.7,48.5,,,1872.9,85.2
cwh_vm_1_hw_fdc,60008,300,1413.2,48.7,,,1892.8,84.7
cwh_vm_1_hw_fdc,60008,310,1416.6,49.0,,,1912.1,84.2
cwh_vm_1_hw_fdc,60008,320,1418.8,49.3,,,1929.0,83.7
cwh_vm_1_hw_fdc,60008,330,1420.2,49.5,,,1945.0,83.2
cwh_vm_1_hw_fdc,60008,340,1420.9,49.8,,,1960.0,82.7
cwh_vm_1_hw_fdc,60008,350,1421.0,50.0,,,1974.3,82.2
