au_id,selected_rank,covered_area_ha,bec_zone,bec_subzone,bec_variant,leading_species_1,leading_species_2,managed_curve_id,managed_rule_source,origin_fire_min_age,origin_classification,logging_origin_stand_count,fire_origin_stand_count,logging_origin_si_count,all_stand_si_count,managed_si_source,bootstrap_status,included_in_msyt,mapping_path,managed_si,managed_family_id,density_total,regen_delay,oaf1,oaf2,planted_percent,baseline_system,ct_eligible,ct_target_age,ct_on_fire_origin,hw_ingrowth_pct,hw_ingrowth_source,managed_rule_notes,base_managed_species_1,base_managed_species_2,base_managed_species_3,base_managed_species_4,base_managed_species_5,base_managed_pct_1,base_managed_pct_2,base_managed_pct_3,base_managed_pct_4,base_managed_pct_5,managed_species_overflow_to_hw_pct,managed_species_overflow_to_hw_codes,managed_species_1,managed_species_2,managed_species_3,managed_species_4,managed_species_5,managed_pct_1,managed_pct_2,managed_pct_3,managed_pct_4,managed_pct_5
cwh_vm_1_hw_fdc,11,112.71775703381552,cwh,vm,1,hw,fdc,60011,F:/projects/femic/external/femic-mkrf-instance/config/tipsy/tsamkrf.yaml,80.0,AGE_2020 threshold,16,5,16,21,logging_origin_median,expert_rule,True,expert_rule_logging_origin_median,23.5,cwh_vm_1,1500,1,1.0,0.95,100,clearcut,True,40,False,30.0,landscape_default,"vm1 expert default: FDC 45, CW 45, PW 10 at 1500 sph.",CW,FD,PW,,,45.0,45.0,10.0,0.0,0.0,0.0,,CW,FD,HW,PW,,31.499999999999996,31.499999999999996,30.0,7.0,0.0
cwh_vm_2_fdc_cw,12,94.2502596140714,cwh,vm,2,fdc,cw,60012,F:/projects/femic/external/femic-mkrf-instance/config/tipsy/tsamkrf.yaml,80.0,AGE_2020 threshold,10,6,10,16,logging_origin_median,expert_rule,True,expert_rule_logging_origin_median,28.5,cwh_vm_2,1500,1,1.0,0.95,100,clearcut,True,40,False,30.0,landscape_default,"vm2 first-pass default: CW 70, FD 15, PW 5, BA 5, SS 5; later high-elevation split may replace FD with YC.",CW,FD,BA,PW,SS,70.0,15.0,5.0,5.0,5.0,3.5,SS,CW,HW,FD,BA,PW,49.0,33.5,10.5,3.5,3.5
cwh_vm_1_cw_fdc,13,93.12984876206522,cwh,vm,1,cw,fdc,60013,F:/projects/femic/external/femic-mkrf-instance/config/tipsy/tsamkrf.yaml,80.0,AGE_2020 threshold,15,0,15,15,logging_origin_median,expert_rule,True,expert_rule_logging_origin_median,28.0,cwh_vm_1,1500,1,1.0,0.95,100,clearcut,True,40,False,30.0,landscape_default,"vm1 expert default: FDC 45, CW 45, PW 10 at 1500 sph.",CW,FD,PW,,,45.0,45.0,10.0,0.0,0.0,0.0,,CW,FD,HW,PW,,31.499999999999996,31.499999999999996,30.0,7.0,0.0
cwh_dm_x_cw_fdc,14,93.12538679996926,cwh,dm,x,cw,fdc,60014,F:/projects/femic/external/femic-mkrf-instance/config/tipsy/tsamkrf.yaml,80.0,AGE_2020 threshold,14,6,14,20,logging_origin_median,expert_rule,True,expert_rule_logging_origin_median,26.0,cwh_dm_x,1500,1,1.0,0.95,100,clearcut,True,40,False,30.0,landscape_default,"dm expert default: FDC 45, CW 45, PW 10 at 1500 sph.",CW,FD,PW,,,45.0,45.0,10.0,0.0,0.0,0.0,,CW,FD,HW,PW,,31.499999999999996,31.499999999999996,30.0,7.0,0.0
cwh_vm_2_cw_hw,15,89.08956732711877,cwh,vm,2,cw,hw,60015,F:/projects/femic/external/femic-mkrf-instance/config/tipsy/tsamkrf.yaml,80.0,AGE_2020 threshold,13,6,13,19,logging_origin_median,expert_rule,True,expert_rule_logging_origin_median,28.0,cwh_vm_2,1500,1,1.0,0.95,100,clearcut,True,40,False,30.0,landscape_default,"vm2 first-pass default: CW 70, FD 15, PW 5, BA 5, SS 5; later high-elevation split may replace FD with YC.",CW,FD,BA,PW,SS,70.0,15.0,5.0,5.0,5.0,3.5,SS,CW,HW,FD,BA,PW,49.0,33.5,10.5,3.5,3.5
cwh_vm_2_fdc_hw,16,87.3632691880809,cwh,vm,2,fdc,hw,60016,F:/projects/femic/external/femic-mkrf-instance/config/tipsy/tsamkrf.yaml,80.0,AGE_2020 threshold,13,6,13,19,logging_origin_median,expert_rule,True,expert_rule_logging_origin_median,34.0,cwh_vm_2,1500,1,1.0,0.95,100,clearcut,True,40,False,30.0,landscape_default,"vm2 first-pass default: CW 70, FD 15, PW 5, BA 5, SS 5; later high-elevation split may replace FD with YC.",CW,FD,BA,PW,SS,70.0,15.0,5.0,5.0,5.0,3.5,SS,CW,HW,FD,BA,PW,49.0,33.5,10.5,3.5,3.5
cwh_dm_x_dr_cw,17,70.31391973400052,cwh,dm,x,dr,cw,60017,F:/projects/femic/external/femic-mkrf-instance/config/tipsy/tsamkrf.yaml,80.0,AGE_2020 threshold,17,2,17,19,logging_origin_median,expert_rule,True,expert_rule_logging_origin_median,25.0,cwh_dm_x,1500,1,1.0,0.95,100,clearcut,True,40,False,30.0,landscape_default,"dm expert default: FDC 45, CW 45, PW 10 at 1500 sph.",CW,FD,PW,,,45.0,45.0,10.0,0.0,0.0,0.0,,CW,FD,HW,PW,,31.499999999999996,31.499999999999996,30.0,7.0,0.0
cwh_dm_x_dr_act,18,62.65627086522274,cwh,dm,x,dr,act,60018,F:/projects/femic/external/femic-mkrf-instance/config/tipsy/tsamkrf.yaml,80.0,AGE_2020 threshold,23,1,23,24,logging_origin_median,expert_rule,True,expert_rule_logging_origin_median,24.0,cwh_dm_x,1500,1,1.0,0.95,100,clearcut,True,40,False,30.0,landscape_default,"dm expert default: FDC 45, CW 45, PW 10 at 1500 sph.",CW,FD,PW,,,45.0,45.0,10.0,0.0,0.0,0.0,,CW,FD,HW,PW,,31.499999999999996,31.499999999999996,30.0,7.0,0.0
cwh_vm_1_fdc_cw,19,57.28804656538165,cwh,vm,1,fdc,cw,60019,F:/projects/femic/external/femic-mkrf-instance/config/tipsy/tsamkrf.yaml,80.0,AGE_2020 threshold,8,1,8,9,logging_origin_median,expert_rule,True,expert_rule_logging_origin_median,31.5,cwh_vm_1,1500,1,1.0,0.95,100,clearcut,True,40,False,30.0,landscape_default,"vm1 expert default: FDC 45, CW 45, PW 10 at 1500 sph.",CW,FD,PW,,,45.0,45.0,10.0,0.0,0.0,0.0,,CW,FD,HW,PW,,31.499999999999996,31.499999999999996,30.0,7.0,0.0
cwh_vm_2_cw_fdc,20,51.88789338265702,cwh,vm,2,cw,fdc,60020,F:/projects/femic/external/femic-mkrf-instance/config/tipsy/tsamkrf.yaml,80.0,AGE_2020 threshold,15,0,15,15,logging_origin_median,expert_rule,True,expert_rule_logging_origin_median,22.0,cwh_vm_2,1500,1,1.0,0.95,100,clearcut,True,40,False,30.0,landscape_default,"vm2 first-pass default: CW 70, FD 15, PW 5, BA 5, SS 5; later high-elevation split may replace FD with YC.",CW,FD,BA,PW,SS,70.0,15.0,5.0,5.0,5.0,3.5,SS,CW,HW,FD,BA,PW,49.0,33.5,10.5,3.5,3.5
cwh_dm_x_fdc_dr,21,43.72931302605964,cwh,dm,x,fdc,dr,60021,F:/projects/femic/external/femic-mkrf-instance/config/tipsy/tsamkrf.yaml,80.0,AGE_2020 threshold,13,0,13,13,logging_origin_median,expert_rule,True,expert_rule_logging_origin_median,37.0,cwh_dm_x,1500,1,1.0,0.95,100,clearcut,True,40,False,30.0,landscape_default,"dm expert default: FDC 45, CW 45, PW 10 at 1500 sph.",CW,FD,PW,,,45.0,45.0,10.0,0.0,0.0,0.0,,CW,FD,HW,PW,,31.499999999999996,31.499999999999996,30.0,7.0,0.0
cwh_vm_1_fdc_x,22,40.76618815701736,cwh,vm,1,fdc,x,60022,F:/projects/femic/external/femic-mkrf-instance/config/tipsy/tsamkrf.yaml,80.0,AGE_2020 threshold,9,3,9,12,logging_origin_median,expert_rule,True,expert_rule_logging_origin_median,32.0,cwh_vm_1,1500,1,1.0,0.95,100,clearcut,True,40,False,30.0,landscape_default,"vm1 expert default: FDC 45, CW 45, PW 10 at 1500 sph.",CW,FD,PW,,,45.0,45.0,10.0,0.0,0.0,0.0,,CW,FD,HW,PW,,31.499999999999996,31.499999999999996,30.0,7.0,0.0
cwh_vm_1_hw_ba,23,38.25420261922032,cwh,vm,1,hw,ba,60023,F:/projects/femic/external/femic-mkrf-instance/config/tipsy/tsamkrf.yaml,80.0,AGE_2020 threshold,1,1,1,2,logging_origin_median,expert_rule,True,expert_rule_logging_origin_median,21.0,cwh_vm_1,1500,1,1.0,0.95,100,clearcut,True,40,False,30.0,landscape_default,"vm1 expert default: FDC 45, CW 45, PW 10 at 1500 sph.",CW,FD,PW,,,45.0,45.0,10.0,0.0,0.0,0.0,,CW,FD,HW,PW,,31.499999999999996,31.499999999999996,30.0,7.0,0.0
cwh_dm_x_fdc_x,24,28.237432258499503,cwh,dm,x,fdc,x,60024,F:/projects/femic/external/femic-mkrf-instance/config/tipsy/tsamkrf.yaml,80.0,AGE_2020 threshold,13,0,13,13,logging_origin_median,expert_rule,True,expert_rule_logging_origin_median,40.0,cwh_dm_x,1500,1,1.0,0.95,100,clearcut,True,40,False,30.0,landscape_default,"dm expert default: FDC 45, CW 45, PW 10 at 1500 sph.",CW,FD,PW,,,45.0,45.0,10.0,0.0,0.0,0.0,,CW,FD,HW,PW,,31.499999999999996,31.499999999999996,30.0,7.0,0.0
cwh_vm_1_dr_hw,25,25.722510047682,cwh,vm,1,dr,hw,60025,F:/projects/femic/external/femic-mkrf-instance/config/tipsy/tsamkrf.yaml,80.0,AGE_2020 threshold,4,1,4,5,logging_origin_median,expert_rule,True,expert_rule_logging_origin_median,23.0,cwh_vm_1,1500,1,1.0,0.95,100,clearcut,True,40,False,30.0,landscape_default,"vm1 expert default: FDC 45, CW 45, PW 10 at 1500 sph.",CW,FD,PW,,,45.0,45.0,10.0,0.0,0.0,0.0,,CW,FD,HW,PW,,31.499999999999996,31.499999999999996,30.0,7.0,0.0
cwh_dm_x_hw_ba,26,20.41834703363092,cwh,dm,x,hw,ba,60026,F:/projects/femic/external/femic-mkrf-instance/config/tipsy/tsamkrf.yaml,80.0,AGE_2020 threshold,0,1,0,1,all_stands_median,expert_rule,True,expert_rule_all_stands_median,18.0,cwh_dm_x,1500,1,1.0,0.95,100,clearcut,True,40,False,30.0,landscape_default,"dm expert default: FDC 45, CW 45, PW 10 at 1500 sph.",CW,FD,PW,,,45.0,45.0,10.0,0.0,0.0,0.0,,CW,FD,HW,PW,,31.499999999999996,31.499999999999996,30.0,7.0,0.0
cwh_vm_2_ba_cw,27,19.564678538130323,cwh,vm,2,ba,cw,60027,F:/projects/femic/external/femic-mkrf-instance/config/tipsy/tsamkrf.yaml,80.0,AGE_2020 threshold,0,2,0,2,all_stands_median,expert_rule,True,expert_rule_all_stands_median,16.5,cwh_vm_2,1500,1,1.0,0.95,100,clearcut,True,40,False,30.0,landscape_default,"vm2 first-pass default: CW 70, FD 15, PW 5, BA 5, SS 5; later high-elevation split may replace FD with YC.",CW,FD,BA,PW,SS,70.0,15.0,5.0,5.0,5.0,3.5,SS,CW,HW,FD,BA,PW,49.0,33.5,10.5,3.5,3.5
