source_feature_class,res_key,forest_cover_id,bec,bec_zone,bec_subzone,bec_variant,leading_species_1,leading_species_2,leading_species_1_share,leading_species_2_share,species_count,tie_break_used,shape_area_ha,au_id,assignment_status
resultant,783,902,CWHdm,cwh,dm,x,cw,fdc,50.0,30.0,3,False,1.8200954660858497,cwh_dm_x_cw_fdc,assigned
resultant,861,43,CWHdm,cwh,dm,x,cw,fdc,50.0,35.0,3,False,1.4016375488483288,cwh_dm_x_cw_fdc,assigned
resultant,864,270,CWHdm,cwh,dm,x,cw,fdc,46.0,28.0,4,False,0.4284559827458416,cwh_dm_x_cw_fdc,assigned
resultant,871,27,CWHdm,cwh,dm,x,cw,fdc,55.0,25.0,3,False,3.3989350362261974,cwh_dm_x_cw_fdc,assigned
resultant,998,254,CWHdm,cwh,dm,x,cw,fdc,90.0,10.0,2,False,2.3274119141333185,cwh_dm_x_cw_fdc,assigned
resultant,1064,448,CWHdm,cwh,dm,x,cw,fdc,55.0,30.0,3,False,0.12607101715074873,cwh_dm_x_cw_fdc,assigned
resultant,1065,448,CWHdm,cwh,dm,x,cw,fdc,55.0,30.0,3,False,0.32009912084248415,cwh_dm_x_cw_fdc,assigned
resultant,1066,448,CWHdm,cwh,dm,x,cw,fdc,55.0,30.0,3,False,0.32804188343961826,cwh_dm_x_cw_fdc,assigned
resultant,1067,448,CWHdm,cwh,dm,x,cw,fdc,55.0,30.0,3,False,0.1783755647209088,cwh_dm_x_cw_fdc,assigned
resultant,1068,448,CWHdm,cwh,dm,x,cw,fdc,55.0,30.0,3,False,1.2559070806774182,cwh_dm_x_cw_fdc,assigned
resultant,1069,448,CWHdm,cwh,dm,x,cw,fdc,55.0,30.0,3,False,2.17631433572593,cwh_dm_x_cw_fdc,assigned
resultant,1092,178,CWHdm,cwh,dm,x,cw,fdc,60.0,20.0,3,True,2.9454993527001707,cwh_dm_x_cw_fdc,assigned
resultant,1111,921,CWHdm,cwh,dm,x,cw,fdc,40.0,30.0,3,True,1.5416030693569251,cwh_dm_x_cw_fdc,assigned
resultant,1112,921,CWHdm,cwh,dm,x,cw,fdc,40.0,30.0,3,True,0.16203686041603393,cwh_dm_x_cw_fdc,assigned
resultant,1113,921,CWHdm,cwh,dm,x,cw,fdc,40.0,30.0,3,True,1.7917868724003743,cwh_dm_x_cw_fdc,assigned
resultant,1209,127,CWHdm,cwh,dm,x,cw,fdc,50.0,40.0,3,False,0.4075396187093387,cwh_dm_x_cw_fdc,assigned
resultant,1210,127,CWHdm,cwh,dm,x,cw,fdc,50.0,40.0,3,False,1.29695863956563,cwh_dm_x_cw_fdc,assigned
resultant,1238,259,CWHdm,cwh,dm,x,cw,fdc,55.0,30.0,3,False,3.3263274371276847,cwh_dm_x_cw_fdc,assigned
resultant,1282,108,CWHdm,cwh,dm,x,cw,fdc,50.0,50.0,2,True,3.0715012383447737,cwh_dm_x_cw_fdc,assigned
resultant,1418,919,CWHdm,cwh,dm,x,cw,fdc,35.0,30.0,4,True,8.06630356274606,cwh_dm_x_cw_fdc,assigned
resultant,1419,72,CWHdm,cwh,dm,x,cw,fdc,50.0,50.0,2,True,0.1769301182496662,cwh_dm_x_cw_fdc,assigned
resultant,1420,72,CWHdm,cwh,dm,x,cw,fdc,50.0,50.0,2,True,3.3941500911043776,cwh_dm_x_cw_fdc,assigned
resultant,1421,72,CWHdm,cwh,dm,x,cw,fdc,50.0,50.0,2,True,0.27435972487667803,cwh_dm_x_cw_fdc,assigned
resultant,1488,328,CWHdm,cwh,dm,x,cw,fdc,36.0,33.0,3,False,12.141322980017144,cwh_dm_x_cw_fdc,assigned
resultant,1612,921,CWHdm,cwh,dm,x,cw,fdc,40.0,30.0,3,True,0.4941498843404569,cwh_dm_x_cw_fdc,assigned
resultant,1688,902,CWHdm,cwh,dm,x,cw,fdc,50.0,30.0,3,False,1.3174923487661845,cwh_dm_x_cw_fdc,assigned
resultant,1691,448,CWHdm,cwh,dm,x,cw,fdc,55.0,30.0,3,False,7.0813988338836875,cwh_dm_x_cw_fdc,assigned
resultant,1692,448,CWHdm,cwh,dm,x,cw,fdc,55.0,30.0,3,False,0.3797683675926426,cwh_dm_x_cw_fdc,assigned
