raw_au_id,au_id,was_aggregated,source_fragment_count,forest_cover_id_count,covered_area_ha,covered_area_share,target_area_ha,raw_share_of_target_area
cwh_dm_x_fdc_x,cwh_dm_x_fdc_x,False,16,13,28.237432258499506,0.0058695304621076815,28.237432258499506,1.0
cwh_dm_x_hw_ba,cwh_dm_x_hw_ba,False,1,1,20.418347033630916,0.004244228327939019,20.418347033630916,1.0
cwh_dm_x_hw_cw,cwh_dm_x_hw_cw_ss01,True,43,35,121.90877186452248,0.025340379518451785,121.90877186452248,1.0
cwh_dm_x_hw_cw,cwh_dm_x_hw_cw_ss02,True,5,4,11.161116008227234,0.002319988227034655,11.161116008227234,1.0
cwh_dm_x_hw_cw,cwh_dm_x_hw_cw_ss03,True,34,25,88.96855772385379,0.018493312527478892,88.96855772385379,1.0
cwh_dm_x_hw_cw,cwh_dm_x_hw_cw_ss04,True,13,12,51.15369948897544,0.010632985133046875,51.15369948897544,1.0
cwh_dm_x_hw_cw,cwh_dm_x_hw_cw_ss05,True,41,30,74.98280648420963,0.015586185838867093,74.98280648420963,1.0
cwh_dm_x_hw_cw,cwh_dm_x_hw_cw_ss07,True,11,9,18.319706260564057,0.003807997588763739,18.319706260564057,1.0
cwh_dm_x_hw_cw,cwh_dm_x_hw_cw_ss12,True,9,6,20.18695962358121,0.004196131339537173,20.18695962358121,1.0
cwh_dm_x_hw_cw,cwh_dm_x_hw_cw_ssnonforested,True,1,1,3.624870662629891,0.0007534781697122057,3.624870662629891,1.0
cwh_dm_x_hw_cw,cwh_dm_x_hw_cw_ssnonforestedaquatic,True,4,3,2.5593033978764277,0.0005319856677509964,2.5593033978764277,1.0
cwh_dm_x_hw_dr,cwh_dm_x_hw_dr,False,7,5,12.170754919024429,0.0025298552676494964,12.170754919024429,1.0
cwh_dm_x_hw_ep,cwh_dm_x_hw_ep,False,4,3,4.872421626570844,0.0010127984336387931,4.872421626570844,1.0
cwh_dm_x_hw_fdc,cwh_dm_x_hw_fdc_ss01,True,35,21,78.67997514339973,0.016354692120529236,78.67997514339973,1.0
cwh_dm_x_hw_fdc,cwh_dm_x_hw_fdc_ss02,True,6,6,12.681577864478923,0.0026360366941914314,12.681577864478923,1.0
cwh_dm_x_hw_fdc,cwh_dm_x_hw_fdc_ss03,True,29,17,80.83973965891299,0.016803628252495293,80.83973965891299,1.0
