TRACK,OFFSET,NEXTAGE,CYCLE,status,au,auf,oper,ct,aux
56,0,0,0,N,761,2011,Low Operability,N,761
57,0,0,0,C,761,2011,Low Operability,N,761
58,0,0,0,C,2011,2011,Low Operability,N,761
59,0,0,0,N,501,501,Reserve,N,501
60,0,0,0,N,138,2021,Operable,N,138
61,0,0,0,C,138,2021,Operable,N,138
62,0,0,0,C,2021,2021,Operable,N,138
63,0,0,0,N,698,2021,Operable,N,698
64,0,0,0,C,698,2021,Operable,N,698
65,0,0,0,C,2021,2021,Operable,N,698
66,0,0,0,N,568,2021,Operable,N,568
67,0,0,0,C,568,2021,Operable,N,568
68,0,0,0,C,2021,2021,Operable,N,568
69,0,0,0,N,1044,1044,Reserve,N,1044
70,0,0,0,N,648,2021,Low Operability,N,648
71,0,0,0,C,648,2021,Low Operability,N,648
72,0,0,0,C,2021,2021,Low Operability,N,648
73,0,0,0,N,511,2021,Operable,N,511
74,0,0,0,C,511,2021,Operable,N,511
75,0,0,0,C,2021,2021,Operable,N,511
76,0,0,0,N,2111,373,Reserve,N,2111
77,0,0,0,N,907,907,Reserve,N,907
78,0,0,0,N,693,693,Riparian,N,693
79,0,0,0,N,422,422,Reserve,N,422
80,0,0,0,N,662,662,Riparian,N,662
81,0,0,0,N,509,2021,Operable,N,509
82,0,0,0,C,509,2021,Operable,N,509
83,0,0,0,C,2021,2021,Operable,N,509
84,0,0,0,N,414,414,Reserve,N,414
85,0,0,0,N,647,2021,Low Operability,N,647
86,0,0,0,C,647,2021,Low Operability,N,647
87,0,0,0,C,2021,2021,Low Operability,N,647
88,0,0,0,N,420,420,Reserve,N,420
89,0,0,0,N,740,2021,Operable,N,740
90,0,0,0,C,740,2021,Operable,N,740
91,0,0,0,C,2021,2021,Operable,N,740
92,0,0,0,N,903,903,Reserve,N,903
93,0,0,0,N,467,2021,Low Operability,N,467
94,0,0,0,C,467,2021,Low Operability,N,467
95,0,0,0,C,2021,2021,Low Operability,N,467
96,0,0,0,N,510,2021,Operable,N,510
97,0,0,0,C,510,2021,Operable,N,510
98,0,0,0,C,2021,2021,Operable,N,510
99,0,0,0,N,2112,2012,Low Operability,N,2112
100,0,0,0,C,2112,2012,Low Operability,N,2112
101,0,0,0,C,2012,2012,Low Operability,N,2112
102,0,0,0,N,595,2011,Operable,N,595
103,0,0,0,C,595,2011,Operable,N,595
104,0,0,0,C,2011,2011,Operable,N,595
105,0,0,0,N,679,2021,Operable,N,679
106,0,0,0,C,679,2021,Operable,N,679
107,0,0,0,C,2021,2021,Operable,N,679
108,0,0,0,N,679,2011,Operable,N,679
109,0,0,0,C,679,2011,Operable,N,679
110,0,0,0,C,2011,2011,Operable,N,679
111,0,0,0,N,689,689,Reserve,N,689
112,0,0,0,N,405,405,Reserve,N,405
113,0,0,0,N,426,426,Reserve,N,426
114,0,0,0,N,497,2021,Low Operability,N,497
115,0,0,0,C,497,2021,Low Operability,N,497
116,0,0,0,C,2021,2021,Low Operability,N,497
117,0,0,0,N,425,425,Reserve,N,425
118,0,0,0,N,646,2021,Low Operability,N,646
119,0,0,0,C,646,2021,Low Operability,N,646
120,0,0,0,C,2021,2021,Low Operability,N,646
121,0,0,0,N,641,641,Riparian,N,641
122,0,0,0,N,500,2011,Low Operability,N,500
123,0,0,0,C,500,2011,Low Operability,N,500
124,0,0,0,C,2011,2011,Low Operability,N,500
125,0,0,0,N,601,2021,Operable,N,601
126,0,0,0,C,601,2021,Operable,N,601
127,0,0,0,C,2021,2021,Operable,N,601
128,0,0,0,N,1019,2011,Operable,N,1019
129,0,0,0,C,1019,2011,Operable,N,1019
130,0,0,0,C,2011,2011,Operable,N,1019
131,0,0,0,N,356,2001,Operable,N,356
132,0,0,0,C,356,2001,Operable,N,356
133,0,0,0,C,2001,2001,Operable,N,356
134,0,0,0,N,1042,1042,Reserve,N,1042
135,0,0,0,N,644,2021,Low Operability,N,644
136,0,0,0,C,644,2021,Low Operability,N,644
137,0,0,0,C,2021,2021,Low Operability,N,644
138,0,0,0,N,418,418,Reserve,N,418
139,0,0,0,N,59,59,Reserve,N,59
140,0,0,0,N,157,2021,Operable,N,157
141,0,0,0,C,157,2021,Operable,N,157
142,0,0,0,C,2021,2021,Operable,N,157
143,0,0,0,N,159,2021,Operable,N,159
144,0,0,0,C,159,2021,Operable,N,159
145,0,0,0,C,2021,2021,Operable,N,159
146,0,0,0,N,221,2011,Operable,N,221
147,0,0,0,C,221,2011,Operable,N,221
148,0,0,0,C,2011,2011,Operable,N,221
149,0,0,0,N,566,2021,Operable,N,566
150,0,0,0,C,566,2021,Operable,N,566
151,0,0,0,C,2021,2021,Operable,N,566
152,0,0,0,N,2121,683,Reserve,N,2121
153,0,0,0,N,145,2011,Operable,N,145
154,0,0,0,C,145,2011,Operable,N,145
155,0,0,0,C,2011,2011,Operable,N,145
156,0,0,0,N,381,381,Reserve,N,381
157,0,0,0,N,1032,2001,Operable,N,1032
158,0,0,0,C,1032,2001,Operable,N,1032
159,0,0,0,C,2001,2001,Operable,N,1032
160,0,0,0,N,521,2021,Operable,N,521
161,0,0,0,C,521,2021,Operable,N,521
