scope,aus,ct_rows,natural_hw_positive_aus,treated_hw_positive_aus,missing_hw_in_treated_bootstrap_aus,ct_rows_affected_by_missing_treated_hw,affected_aus
eligible_ct_aus,7,804,3,0,3,510,cwh_dm_x_cw_hw;cwh_vm_1_cw_hw;cwh_vm_2_cw_hw
ct_rows_natural_current_treated_species_mix_has_no_hw_gap,1,12,,,,,cwh_dm_x_cw_fdc
ct_rows_natural_requires_planted_hw_ingrowth_fix,3,51,,,,,cwh_dm_x_cw_hw;cwh_vm_1_cw_hw;cwh_vm_2_cw_hw
ct_rows_treated_current_treated_species_mix_has_no_hw_gap,4,282,,,,,cwh_dm_x_cw_dr;cwh_dm_x_cw_fdc;cwh_vm_1_cw_fdc;cwh_vm_2_cw_fdc
ct_rows_treated_requires_planted_hw_ingrowth_fix,3,459,,,,,cwh_dm_x_cw_hw;cwh_vm_1_cw_hw;cwh_vm_2_cw_hw
