raw_au_id,au_id,was_remapped,remap_reason,forest_cover_id_count,assignment_row_count
cwh_dm_x_cw_x,cwh_dm_x_cw_fdc,True,same_bec_species_coverage_rank,1,1
cwh_dm_x_fdc_cw_ss02,cwh_dm_x_fdc_cw_ss01,True,same_bec_species_coverage_rank,1,1
cwh_dm_x_fdc_hw_ss12,cwh_dm_x_fdc_hw_ss01,True,same_bec_species_coverage_rank,1,1
cwh_dm_x_hw_cw_ssnonforested,cwh_dm_x_hw_cw_ss01,True,same_bec_species_coverage_rank,1,1
cwh_dm_x_hw_cw_ssnonforestedaquatic,cwh_dm_x_hw_cw_ss01,True,same_bec_species_coverage_rank,1,1
cwh_dm_x_hw_fdc_ss12,cwh_dm_x_hw_fdc_ss03,True,same_bec_species_coverage_rank,1,1
cwh_dm_x_hw_fdc_ssnonforestedrocks,cwh_dm_x_hw_fdc_ss03,True,same_bec_species_coverage_rank,1,1
cwh_dm_x_mb_dr,cwh_dm_x_cw_fdc,True,same_bec_species_coverage_rank,1,1
cwh_vm_1_cw_x,cwh_vm_1_cw_ba,True,same_bec_species_coverage_rank,1,1
cwh_vm_1_cw_yc,cwh_vm_1_cw_ba,True,same_bec_species_coverage_rank,1,1
cwh_vm_1_dr_act,cwh_vm_1_dr_hw,True,same_bec_species_coverage_rank,1,1
cwh_vm_1_dr_fdc,cwh_vm_1_dr_hw,True,same_bec_species_coverage_rank,1,1
cwh_vm_1_fdc_act,cwh_vm_1_fdc_cw,True,same_bec_species_coverage_rank,1,1
cwh_vm_2_cw_act,cwh_vm_2_cw_hw,True,same_bec_species_coverage_rank,1,1
cwh_vm_2_cw_ba,cwh_vm_2_cw_hw,True,same_bec_species_coverage_rank,1,1
cwh_vm_2_cw_x,cwh_vm_2_cw_hw,True,same_bec_species_coverage_rank,1,1
cwh_vm_2_hm_ba,cwh_vm_2_hw_ba,True,same_bec_species_coverage_rank,1,1
cwh_vm_2_hw_fdc_ssnonforested,cwh_vm_2_hw_ba,True,same_bec_species_coverage_rank,1,1
cwh_vm_2_hw_x,cwh_vm_2_hw_ba,True,same_bec_species_coverage_rank,1,1
cwh_vm_2_x_x,cwh_vm_2_hw_ba,True,same_bec_species_coverage_rank,1,1
cwh_vm_2_hw_cw_ss01,cwh_vm_2_hw_cw_ss01,False,already_selected,54,54
cwh_dm_x_fdc_hw_ss01,cwh_dm_x_fdc_hw_ss01,False,already_selected,34,34
cwh_dm_x_hw_cw_ss01,cwh_dm_x_hw_cw_ss01,False,already_selected,33,33
cwh_vm_1_hw_cw_ss01,cwh_vm_1_hw_cw_ss01,False,already_selected,31,31
cwh_vm_2_hw_cw_ss03,cwh_vm_2_hw_cw_ss03,False,already_selected,29,29
cwh_dm_x_hw_cw_ss05,cwh_dm_x_hw_cw_ss05,False,already_selected,28,28
cwh_vm_1_hw_cw_ss05,cwh_vm_1_hw_cw_ss05,False,already_selected,25,25
cwh_dm_x_dr_act,cwh_dm_x_dr_act,False,already_selected,24,24
cwh_dm_x_fdc_hw_ss05,cwh_dm_x_fdc_hw_ss05,False,already_selected,23,23
cwh_dm_x_hw_cw_ss03,cwh_dm_x_hw_cw_ss03,False,already_selected,21,21
cwh_vm_1_hw_fdc,cwh_vm_1_hw_fdc,False,already_selected,21,21
cwh_vm_2_hw_ba,cwh_vm_2_hw_ba,False,already_selected,21,21
cwh_dm_x_cw_fdc,cwh_dm_x_cw_fdc,False,already_selected,20,20
cwh_vm_1_hw_cw_ss03,cwh_vm_1_hw_cw_ss03,False,already_selected,20,20
cwh_dm_x_dr_cw,cwh_dm_x_dr_cw,False,already_selected,19,19
cwh_vm_2_cw_hw,cwh_vm_2_cw_hw,False,already_selected,19,19
cwh_vm_2_fdc_hw,cwh_vm_2_fdc_hw,False,already_selected,19,19
cwh_vm_2_hw_fdc_ss01,cwh_vm_2_hw_fdc_ss01,False,already_selected,19,19
cwh_dm_x_hw_fdc_ss01,cwh_dm_x_hw_fdc_ss01,False,already_selected,18,18
cwh_dm_x_hw_fdc_ss05,cwh_dm_x_hw_fdc_ss05,False,already_selected,17,17
cwh_vm_1_cw_hw_ss07,cwh_vm_1_cw_hw_ss07,False,already_selected,17,17
cwh_vm_2_fdc_cw,cwh_vm_2_fdc_cw,False,already_selected,16,16
cwh_dm_x_hw_fdc_ss03,cwh_dm_x_hw_fdc_ss03,False,already_selected,15,15
cwh_vm_1_cw_fdc,cwh_vm_1_cw_fdc,False,already_selected,15,15
cwh_vm_1_hw_cw_ss04,cwh_vm_1_hw_cw_ss04,False,already_selected,15,15
cwh_vm_2_cw_fdc,cwh_vm_2_cw_fdc,False,already_selected,15,15
cwh_vm_2_hw_cw_ss06,cwh_vm_2_hw_cw_ss06,False,already_selected,15,15
cwh_vm_2_hw_fdc_ss03,cwh_vm_2_hw_fdc_ss03,False,already_selected,14,14
cwh_dm_x_fdc_cw_ss01,cwh_dm_x_fdc_cw_ss01,False,already_selected,13,13
cwh_dm_x_fdc_dr,cwh_dm_x_fdc_dr,False,already_selected,13,13
cwh_dm_x_fdc_x,cwh_dm_x_fdc_x,False,already_selected,13,13
cwh_vm_1_hw_cw_ss02,cwh_vm_1_hw_cw_ss02,False,already_selected,13,13
cwh_dm_x_hw_cw_ss04,cwh_dm_x_hw_cw_ss04,False,already_selected,12,12
cwh_vm_1_fdc_x,cwh_vm_1_fdc_x,False,already_selected,12,12
cwh_dm_x_cw_hw_ss05,cwh_dm_x_cw_hw_ss05,False,already_selected,11,11
cwh_dm_x_dr_hw,cwh_dm_x_dr_hw,False,already_selected,11,11
cwh_dm_x_fdc_cw_ss05,cwh_dm_x_fdc_cw_ss05,False,already_selected,11,11
cwh_vm_1_cw_hw_ss05,cwh_vm_1_cw_hw_ss05,False,already_selected,11,11
cwh_vm_2_hw_cw_ss04,cwh_vm_2_hw_cw_ss04,False,already_selected,11,11
cwh_dm_x_fdc_hw_ss03,cwh_dm_x_fdc_hw_ss03,False,already_selected,10,10
cwh_dm_x_cw_hw_ss01,cwh_dm_x_cw_hw_ss01,False,already_selected,9,9
cwh_vm_1_fdc_cw,cwh_vm_1_fdc_cw,False,already_selected,9,9
cwh_dm_x_dr_fdc,cwh_dm_x_dr_fdc,False,already_selected,8,8
cwh_dm_x_fdc_hw_ss04,cwh_dm_x_fdc_hw_ss04,False,already_selected,8,8
cwh_dm_x_hw_fdc_ss04,cwh_dm_x_hw_fdc_ss04,False,already_selected,8,8
cwh_vm_2_hw_cw_ss02,cwh_vm_2_hw_cw_ss02,False,already_selected,8,8
cwh_vm_2_hw_cw_ss05,cwh_vm_2_hw_cw_ss05,False,already_selected,8,8
cwh_dm_x_fdc_cw_ss03,cwh_dm_x_fdc_cw_ss03,False,already_selected,7,7
cwh_dm_x_fdc_hw_ss07,cwh_dm_x_fdc_hw_ss07,False,already_selected,7,7
cwh_vm_1_cw_hw_ss14,cwh_vm_1_cw_hw_ss14,False,already_selected,6,6
cwh_vm_1_hw_cw_ss06,cwh_vm_1_hw_cw_ss06,False,already_selected,6,6
cwh_vm_2_hw_fdc_ss05,cwh_vm_2_hw_fdc_ss05,False,already_selected,6,6
cwh_dm_x_fdc_cw_ss07,cwh_dm_x_fdc_cw_ss07,False,already_selected,5,5
cwh_dm_x_hw_cw_ss07,cwh_dm_x_hw_cw_ss07,False,already_selected,5,5
cwh_dm_x_hw_cw_ss12,cwh_dm_x_hw_cw_ss12,False,already_selected,5,5
cwh_vm_1_dr_hw,cwh_vm_1_dr_hw,False,already_selected,5,5
cwh_vm_1_hw_cw_ss07,cwh_vm_1_hw_cw_ss07,False,already_selected,5,5
cwh_dm_x_cw_hw_ss04,cwh_dm_x_cw_hw_ss04,False,already_selected,4,4
cwh_dm_x_fdc_cw_ss04,cwh_dm_x_fdc_cw_ss04,False,already_selected,4,4
cwh_dm_x_fdc_hw_ss02,cwh_dm_x_fdc_hw_ss02,False,already_selected,4,4
cwh_vm_1_cw_hw_ss03,cwh_vm_1_cw_hw_ss03,False,already_selected,4,4
cwh_vm_1_cw_hw_ss04,cwh_vm_1_cw_hw_ss04,False,already_selected,4,4
cwh_vm_1_cw_hw_ss06,cwh_vm_1_cw_hw_ss06,False,already_selected,4,4
cwh_vm_1_dr_cw,cwh_vm_1_dr_cw,False,already_selected,4,4
cwh_vm_1_hw_cw_ss14,cwh_vm_1_hw_cw_ss14,False,already_selected,4,4
cwh_vm_2_hw_cw_ss07,cwh_vm_2_hw_cw_ss07,False,already_selected,4,4
cwh_vm_1_cw_ba,cwh_vm_1_cw_ba,False,already_selected,3,3
cwh_vm_1_cw_dr,cwh_vm_1_cw_dr,False,already_selected,3,3
cwh_vm_1_cw_hw_ss01,cwh_vm_1_cw_hw_ss01,False,already_selected,3,3
cwh_vm_2_hw_fdc_ss04,cwh_vm_2_hw_fdc_ss04,False,already_selected,3,3
cwh_vm_1_hw_ba,cwh_vm_1_hw_ba,False,already_selected,2,2
cwh_vm_1_x_x,cwh_vm_1_x_x,False,already_selected,2,2
cwh_vm_2_ba_cw,cwh_vm_2_ba_cw,False,already_selected,2,2
cwh_dm_x_hw_ba,cwh_dm_x_hw_ba,False,already_selected,1,1
