track,treatment,begin_age,end_age,au_id,origin,statecode,newtrack,natural_hw_share_pct,treated_hw_share_pct,missing_hw_in_treated_bootstrap,ct_intensity_dependency,audit_flags
88,CT35,35,39,cwh_vm_2_cw_hw,treated,EM,19397,27.648129,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
88,CT40,40,44,cwh_vm_2_cw_hw,treated,EM,96,27.648129,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
88,CT45,45,49,cwh_vm_2_cw_hw,treated,EM,19398,27.648129,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
89,CT35,35,39,cwh_vm_2_cw_hw,treated,FM,19399,27.648129,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
89,CT40,40,44,cwh_vm_2_cw_hw,treated,FM,108,27.648129,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
89,CT45,45,49,cwh_vm_2_cw_hw,treated,FM,19400,27.648129,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
115,CT35,35,39,cwh_vm_1_cw_hw,treated,EM,19401,28.266992,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
115,CT40,40,44,cwh_vm_1_cw_hw,treated,EM,123,28.266992,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
115,CT45,45,49,cwh_vm_1_cw_hw,treated,EM,19402,28.266992,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
116,CT35,35,39,cwh_vm_1_cw_hw,treated,FM,19403,28.266992,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
116,CT40,40,44,cwh_vm_1_cw_hw,treated,FM,135,28.266992,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
116,CT45,45,49,cwh_vm_1_cw_hw,treated,FM,19404,28.266992,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
169,CT35,35,39,cwh_dm_x_cw_hw,treated,EM,19405,32.440811,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
169,CT40,40,44,cwh_dm_x_cw_hw,treated,EM,177,32.440811,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
169,CT45,45,49,cwh_dm_x_cw_hw,treated,EM,19406,32.440811,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
170,CT35,35,39,cwh_dm_x_cw_hw,treated,FM,19407,32.440811,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
170,CT40,40,44,cwh_dm_x_cw_hw,treated,FM,189,32.440811,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
170,CT45,45,49,cwh_dm_x_cw_hw,treated,FM,19408,32.440811,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
277,CT35,35,39,cwh_vm_2_cw_hw,treated,EM,19409,27.648129,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
277,CT40,40,44,cwh_vm_2_cw_hw,treated,EM,285,27.648129,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
277,CT45,45,49,cwh_vm_2_cw_hw,treated,EM,19410,27.648129,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
278,CT35,35,39,cwh_vm_2_cw_hw,treated,FM,19411,27.648129,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
278,CT40,40,44,cwh_vm_2_cw_hw,treated,FM,297,27.648129,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
278,CT45,45,49,cwh_vm_2_cw_hw,treated,FM,19412,27.648129,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
415,CT35,35,39,cwh_vm_1_cw_fdc,treated,EM,19413,0.000000,0.000000,false,current_treated_species_mix_has_no_hw_gap,
415,CT40,40,44,cwh_vm_1_cw_fdc,treated,EM,423,0.000000,0.000000,false,current_treated_species_mix_has_no_hw_gap,
415,CT45,45,49,cwh_vm_1_cw_fdc,treated,EM,19414,0.000000,0.000000,false,current_treated_species_mix_has_no_hw_gap,
416,CT35,35,39,cwh_vm_1_cw_fdc,treated,FM,19415,0.000000,0.000000,false,current_treated_species_mix_has_no_hw_gap,
416,CT40,40,44,cwh_vm_1_cw_fdc,treated,FM,435,0.000000,0.000000,false,current_treated_species_mix_has_no_hw_gap,
416,CT45,45,49,cwh_vm_1_cw_fdc,treated,FM,19416,0.000000,0.000000,false,current_treated_species_mix_has_no_hw_gap,
961,CT35,35,39,cwh_vm_1_cw_hw,treated,EM,19417,28.266992,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
961,CT40,40,44,cwh_vm_1_cw_hw,treated,EM,969,28.266992,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
961,CT45,45,49,cwh_vm_1_cw_hw,treated,EM,19418,28.266992,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
962,CT35,35,39,cwh_vm_1_cw_hw,treated,FM,19419,28.266992,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
962,CT40,40,44,cwh_vm_1_cw_hw,treated,FM,981,28.266992,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
962,CT45,45,49,cwh_vm_1_cw_hw,treated,FM,19420,28.266992,0.000000,true,requires_planted_hw_ingrowth_fix,treated_ct_row_cannot_remove_natural_hw_until_ingrowth_fixed
1222,CT35,35,39,cwh_vm_2_cw_fdc,treated,EM,19421,0.000000,0.000000,false,current_treated_species_mix_has_no_hw_gap,
