Curve_ID,Age,Value
Yield_1,0,27.9345
Yield_1,10,27.9345
Yield_1,20,27.9345
Yield_1,30,28.1731
Yield_1,40,28.8165
Yield_1,50,29.7855
Yield_1,60,30.9019
Yield_1,70,32.0315
Yield_1,80,33.1027
Yield_1,90,34.0887
Yield_1,100,34.9807
Yield_1,110,35.7791
Yield_1,120,36.4673
Yield_1,130,37.0343
Yield_1,140,37.4999
Yield_1,150,37.8537
Yield_1,160,38.0958
Yield_1,170,38.2702
Yield_1,180,38.4051
Yield_1,190,38.5141
Yield_1,200,38.6069
Yield_1,210,38.6499
Yield_1,220,38.691
Yield_1,230,38.7291
Yield_1,240,38.7641
Yield_1,250,38.7966
Yield_1,260,38.8263
Yield_1,270,38.8541
Yield_1,280,38.8795
Yield_1,290,38.903
Yield_1,300,38.925
Yield_1,310,38.945
Yield_1,320,38.9098
Yield_1,330,38.8749
Yield_1,340,38.8405
Yield_1,350,38.8065
Yield_10,0,0.0
Yield_10,10,0.0
Yield_10,20,0.0
Yield_10,30,37.2468
Yield_10,40,112.4305
Yield_10,50,184.63809
Yield_10,60,249.13422000000003
Yield_10,70,305.81149
Yield_10,80,355.06958
Yield_10,90,387.50531
Yield_10,100,409.9527
Yield_10,110,429.2326
Yield_10,120,442.24414
Yield_10,130,446.04919
Yield_10,140,442.37372
Yield_10,150,431.98993
Yield_10,160,417.14389
Yield_10,170,402.62848
Yield_10,180,391.06442
Yield_10,190,382.58661
Yield_10,200,377.3349
Yield_10,210,374.17401
Yield_10,220,372.55161
Yield_10,230,370.9527
Yield_10,240,369.37579
Yield_10,250,367.82013
Yield_10,260,366.28412
Yield_10,270,364.76721
Yield_10,280,363.26791
Yield_10,290,361.78558
Yield_10,300,360.31958
Yield_10,310,358.86908
Yield_10,320,357.4332
Yield_10,330,356.0114700000001
Yield_10,340,354.60358
Yield_10,350,353.20828
Yield_100,0,0.0
Yield_100,10,0.0
Yield_100,20,0.2451
Yield_100,30,80.0015
Yield_100,40,196.65619
Yield_100,50,311.46829
Yield_100,60,417.3378
Yield_100,70,475.17819
Yield_100,80,508.54568
Yield_100,90,533.72168
Yield_100,100,561.74133
Yield_100,110,592.5824
Yield_100,120,610.69281
Yield_100,130,616.3250099999998
Yield_100,140,612.3668200000002
Yield_100,150,599.2810099999998
Yield_100,160,580.31219
Yield_100,170,563.05579
Yield_100,180,549.336
Yield_100,190,539.6225599999998
Yield_100,200,534.18939
Yield_100,210,530.7569
Yield_100,220,528.12036
Yield_100,230,525.52411
Yield_100,240,522.9653900000002
Yield_100,250,520.4426900000002
Yield_100,260,517.95392
Yield_100,270,515.4978
Yield_100,280,513.07239
Yield_100,290,510.67679
Yield_100,300,508.30951
Yield_100,310,505.96918
Yield_100,320,503.655
Yield_100,330,501.36609
Yield_100,340,499.10098
Yield_100,350,496.85947
Yield_1000,0,0.0
Yield_1000,10,0.0
Yield_1000,20,20.6145
Yield_1000,30,117.4874
Yield_1000,40,183.7762
Yield_1000,50,217.905
Yield_1000,60,241.3036
Yield_1000,70,257.47119
Yield_1000,80,268.71191
Yield_1000,90,277.07089
Yield_1000,100,285.25562
Yield_1000,110,298.19061
Yield_1000,120,305.73032
Yield_1000,130,307.28671
Yield_1000,140,304.27429
Yield_1000,150,297.03711
Yield_1000,160,286.97
Yield_1000,170,277.6954
Yield_1000,180,270.25409
Yield_1000,190,264.79779
Yield_1000,200,261.40698
Yield_1000,210,259.19202
Yield_1000,220,257.5379
Yield_1000,230,255.90012
Yield_1000,240,254.27771
Yield_1000,250,252.67111
Yield_1000,260,251.07959
Yield_1000,270,249.50238
Yield_1000,280,247.94031
Yield_1000,290,246.3924
Yield_1000,300,244.85931
Yield_1000,310,243.35989
Yield_1000,320,241.9057
Yield_1000,330,240.4635
Yield_1000,340,239.03329
Yield_1000,350,237.6153
Yield_1001,0,0.0
Yield_1001,10,0.0
Yield_1001,20,13.4526
Yield_1001,30,113.1375
Yield_1001,40,250.60519
Yield_1001,50,388.5979
Yield_1001,60,517.24011
Yield_1001,70,634.76758
Yield_1001,80,741.4895
Yield_1001,90,838.23914
Yield_1001,100,892.8707300000002
Yield_1001,110,932.34009
Yield_1001,120,966.02527
Yield_1001,130,994.89673
Yield_1001,140,986.11237
Yield_1001,150,963.07562
Yield_1001,160,930.81592
Yield_1001,170,901.11566
Yield_1001,180,877.8400300000002
Yield_1001,190,861.8933099999998
Yield_1001,200,853.05261
Yield_1001,210,848.43219
Yield_1001,220,845.96729
Yield_1001,230,843.53015
Yield_1001,240,841.1192
Yield_1001,250,838.7330900000002
Yield_1001,260,836.3706099999998
Yield_1001,270,834.02997
Yield_1001,280,831.71082
Yield_1001,290,829.41193
Yield_1001,300,827.13184
Yield_1001,310,824.8703
Yield_1001,320,822.6264
Yield_1001,330,820.39917
Yield_1001,340,818.18781
Yield_1001,350,815.99219
Yield_1002,0,0.0
Yield_1002,10,0.0
Yield_1002,20,58.9007
Yield_1002,30,142.3983
Yield_1002,40,181.29539
Yield_1002,50,198.46849
Yield_1002,60,209.31
Yield_1002,70,216.20499
Yield_1002,80,220.56779
Yield_1002,90,223.26709
Yield_1002,100,224.84929
Yield_1002,110,224.48039
Yield_1002,120,219.81039
Yield_1002,130,211.89851
Yield_1002,140,202.0269
Yield_1002,150,191.21872
Yield_1002,160,180.90099999999998
Yield_1002,170,172.52798
Yield_1002,180,165.9882
Yield_1002,190,161.1373
Yield_1002,200,157.86209
Yield_1002,210,155.5797
Yield_1002,220,153.3486
Yield_1002,230,151.11891
Yield_1002,240,148.8858
Yield_1002,250,147.81061
Yield_1002,260,146.81201
Yield_1002,270,145.8159
Yield_1002,280,144.84219
Yield_1002,290,143.86909
Yield_1002,300,142.89600000000002
Yield_1002,310,141.9227
Yield_1002,320,140.94821000000005
Yield_1002,330,139.9727
Yield_1002,340,138.9959
Yield_1002,350,138.01748999999998
Yield_1003,0,0.0
Yield_1003,10,0.0
Yield_1003,20,32.3032
Yield_1003,30,178.8831
Yield_1003,40,323.7688
Yield_1003,50,386.44171
Yield_1003,60,434.33618
Yield_1003,70,471.57397
Yield_1003,80,505.76251
Yield_1003,90,542.5059200000002
Yield_1003,100,574.59772
Yield_1003,110,602.52899
Yield_1003,120,619.4144299999998
Yield_1003,130,623.89911
Yield_1003,140,618.8347200000002
Yield_1003,150,604.93835
Yield_1003,160,585.21155
Yield_1003,170,567.10651
Yield_1003,180,552.90057
Yield_1003,190,542.9245
Yield_1003,200,537.36713
Yield_1003,210,534.4281599999998
Yield_1003,220,532.69708
Yield_1003,230,530.9881
Yield_1003,240,529.29968
Yield_1003,250,527.6309200000002
Yield_1003,260,525.9807099999998
Yield_1003,270,524.34839
Yield_1003,280,522.7330900000002
Yield_1003,290,521.1337900000002
Yield_1003,300,519.55011
Yield_1003,310,517.98145
Yield_1003,320,516.42688
Yield_1003,330,514.88635
Yield_1003,340,513.3584
Yield_1003,350,511.84363
Yield_1004,0,0.0
Yield_1004,10,0.0
Yield_1004,20,29.3196
Yield_1004,30,168.29291
Yield_1004,40,342.02368
Yield_1004,50,508.07529000000005
Yield_1004,60,652.3262900000002
Yield_1004,70,721.85095
Yield_1004,80,759.3078
Yield_1004,90,787.40204
Yield_1004,100,810.40588
Yield_1004,110,848.82025
Yield_1004,120,868.9703400000002
Yield_1004,130,872.09552
Yield_1004,140,862.43579
Yield_1004,150,841.08191
Yield_1004,160,813.23633
Yield_1004,170,788.90747
Yield_1004,180,770.0018299999998
Yield_1004,190,757.00769
Yield_1004,200,750.21289
Yield_1004,210,746.4444599999998
Yield_1004,220,743.48041
Yield_1004,230,740.55261
Yield_1004,240,737.65851
Yield_1004,250,734.7973
Yield_1004,260,731.9671
Yield_1004,270,729.1668099999998
Yield_1004,280,726.3949
Yield_1004,290,723.65039
Yield_1004,300,720.93237
Yield_1004,310,718.23926
Yield_1004,320,715.5706799999998
Yield_1004,330,712.92566
Yield_1004,340,710.30322
Yield_1004,350,707.70282
Yield_1005,0,0.0
Yield_1005,10,0.0
Yield_1005,20,0.0
Yield_1005,30,79.70351
Yield_1005,40,210.5804
Yield_1005,50,341.28448
Yield_1005,60,435.78601
Yield_1005,70,480.93207
Yield_1005,80,516.12866
Yield_1005,90,543.48193
Yield_1005,100,564.17889
Yield_1005,110,585.5155
Yield_1005,120,603.77362
Yield_1005,130,609.67261
Yield_1005,140,606.02411
Yield_1005,150,593.13239
Yield_1005,160,574.35022
Yield_1005,170,557.20502
Yield_1005,180,543.5754400000002
Yield_1005,190,533.92102
Yield_1005,200,528.5103799999998
Yield_1005,210,525.15112
Yield_1005,220,522.6367799999998
Yield_1005,230,520.15332
Yield_1005,240,517.69952
Yield_1005,250,515.2738
Yield_1005,260,512.875
Yield_1005,270,510.50208
Yield_1005,280,508.15372
Yield_1005,290,505.8291
Yield_1005,300,503.52722
Yield_1005,310,501.24713
Yield_1005,320,498.98822
Yield_1005,330,496.74963
Yield_1005,340,494.53091
Yield_1005,350,492.33099
Yield_1007,0,0.0
Yield_1007,10,0.0
Yield_1007,20,0.0
Yield_1007,30,41.4059
Yield_1007,40,123.8353
Yield_1007,50,211.4787
Yield_1007,60,294.50482
Yield_1007,70,371.34311
