au,BA,CW,DR,FD,HW,YC,Dec,Oth
80,20,20,0,0,40,20,0,0
81,0,10,0,65,25,0,0,0
82,10,60,5,5,0,20,0,0
83,0,67,0,3,30,0,0,0
84,0,45,0,5,50,0,0,0
85,0,0,0,95,5,0,0,0
86,0,40,25,35,0,0,0,0
87,0,30,0,45,25,0,0,0
88,0,10,0,55,35,0,0,0
89,0,5,45,5,20,0,25,0
90,0,60,0,20,20,0,0,0
92,19.0544075948177,31.4183886077734,0,13.1757345991362,19.0544075948177,6.35146919827257,10.9455924051822,0
93,0,35,0,20,45,0,0,0
94,0,30,10,10,40,0,10,0
95,0,30,40,30,0,0,0,0
97,0,10,25,10,30,0,25,0
98,0,6.23174137190319,4.67380602892739,53.7682586280968,35.3261939710726,0,0,0
99,0,35,0,0,65,0,0,0
100,0,25,0,20,55,0,0,0
101,0,20,0,10,70,0,0,0
102,0,45,0,5,50,0,0,0
103,0,0,0,80,20,0,0,0
104,0,10,0,5,85,0,0,0
105,0,20,40,5,25,0,10,0
106,0,0,0,65,35,0,0,0
107,0,0,0,85,15,0,0,0
108,0,50,0,50,0,0,0,0
109,0,5,0,80,15,0,0,0
110,0,0,0,85,15,0,0,0
111,0,0,0,70,30,0,0,0
112,0,5,0,80,15,0,0,0
113,0,0,0,90,5,0,5,0
114,0,0,0,100,0,0,0,0
115,0,0,0,85,15,0,0,0
116,0,0,55,5,30,0,10,0
117,25,60,10,0,0,0,5,0
118,0,0,3,77,20,0,0,0
119,0,30,15,10,35,0,10,0
120,0,25,10,35,30,0,0,0
121,0,46,29,0,15,0,10,0
122,0,40,0,20,40,0,0,0
123,0,33.6285409324125,0,44.6002134731124,14.51416372965,0,7.25708186482502,0
124,0,40,10,20,30,0,0,0
125,0,55,0,20,25,0,0,0
126,0,0,2,90,8,0,0,0
127,0,50,0,40,0,0,0,10
128,0,40,3,7,50,0,0,0
129,0,30,0,0,70,0,0,0
130,4.08298838441776,16.331953537671,0,71.4190813090757,0,8.16597676883552,0,0
131,5.91562187616673,23.6624875046669,0,58.5906468668328,0,11.8312437523334,0,0
132,0,40,0,45,15,0,0,0
133,0,35,0,15,50,0,0,0
134,0,33.3912750452816,19.8261748641552,26.7825500905631,6.60872495471841,0,0,13.3912750452815
135,0,40,0,60,0,0,0,0
136,0,65.643257903563,0,34.3567420964369,0,0,0,0
137,0,55,0,5,40,0,0,0
138,0,20,0,0,80,0,0,0
139,3.02076613839619,24.1661291071695,0,63.7508063392456,0,6.04153227679239,0,3.02076613839619
141,0,40,0,5,55,0,0,0
142,0,15,0,25,60,0,0,0
143,0,10,5,10,75,0,0,0
144,0,15,0,10,75,0,0,0
145,0,25,0,10,65,0,0,0
146,10,45,0,0,45,0,0,0
147,0,35,0,5,60,0,0,0
148,0,15,3,25,57,0,0,0
149,0,20,0,20,60,0,0,0
150,0,15,0,50,35,0,0,0
151,0,20,0,10,70,0,0,0
152,0,0,90,0,5,0,5,0
153,0,5,80,0,15,0,0,0
154,0,15,0,40,45,0,0,0
155,0,25,0,65,10,0,0,0
156,0,20,0,10,70,0,0,0
157,0,45,0,0,55,0,0,0
158,0,10,0,70,20,0,0,0
159,0,30,0,0,70,0,0,0
160,0,5,3,42,50,0,0,0
161,0,10,0,3,87,0,0,0
162,0,30,0,5,65,0,0,0
163,0,22.7858271719549,0,45.2496048981576,0,25.5716543439099,0,6.39291358597747
164,0,40,0,40,0,20,0,0
165,0,0,5,85,10,0,0,0
166,0,40,0,40,0,20,0,0
167,0,15,30,30,20,0,5,0
168,0,59.5510900300316,0,26.8163033233227,6.81630332332278,0,0,6.81630332332278
169,5.47782350251486,21.9112940100594,0,57.1330589849108,0,10.9556470050297,4.52217649748513,0
