BLOCK,TYPE,TRACK,OFFSET,AREA
14,unmanaged,1,69,0.204575
14,managed,2,69,1.84117
15,unmanaged,4,6,0.7437
15,managed,5,6,6.6933
16,unmanaged,4,6,0.0118866
16,managed,5,6,0.106979
17,unmanaged,9,13,1.65808
18,unmanaged,10,79,0.97137
19,unmanaged,11,7,0.71941
19,managed,12,7,6.4747
20,unmanaged,11,8,0.429846
20,managed,12,8,3.86861
21,unmanaged,11,8,0.102276
21,managed,12,8,0.92048
22,unmanaged,11,8,0.247159
22,managed,12,8,2.22443
23,unmanaged,16,18,0.91866
23,managed,17,18,8.2679
24,unmanaged,16,18,0.0365584
24,managed,17,18,0.329026
25,unmanaged,21,29,0.0450407
25,managed,22,29,0.405366
26,unmanaged,11,7,2.15841
26,managed,12,7,19.4257
27,unmanaged,4,23,0.245392
27,managed,5,23,2.20853
28,unmanaged,4,18,0.497076
28,managed,5,18,4.47368
29,unmanaged,26,44,0.376476
29,managed,27,44,3.38828
30,unmanaged,16,16,0.121601
30,managed,17,16,1.09441
31,unmanaged,26,11,0.183798
31,managed,27,11,1.65418
32,unmanaged,31,79,0.245109
32,managed,32,79,2.20599
33,unmanaged,36,13,5.78
34,unmanaged,37,15,2.00321
35,unmanaged,38,16,2.22033
36,unmanaged,39,84,0.311429
36,managed,40,84,2.80287
37,unmanaged,26,17,0.335023
37,managed,27,17,3.01521
38,unmanaged,44,17,0.316375
38,managed,45,17,2.84738
39,unmanaged,11,10,0.297186
39,managed,12,10,2.67467
40,unmanaged,11,10,0.250776
40,managed,12,10,2.25699
41,unmanaged,4,64,0.085121
41,managed,5,64,0.76609
42,unmanaged,4,8,0.071818
42,managed,5,8,0.64636
43,unmanaged,4,8,0.0423663
43,managed,5,8,0.381296
44,unmanaged,4,59,0.053659
44,managed,5,59,0.482928
45,unmanaged,4,59,0.122149
45,managed,5,59,1.09934
46,unmanaged,16,47,0.190909
46,managed,17,47,1.71818
47,unmanaged,16,47,0.0160391
47,managed,17,47,0.144352
48,unmanaged,49,12,0.053771
48,managed,50,12,0.483943
49,unmanaged,49,12,0.088235
49,managed,50,12,0.79411
50,unmanaged,16,12,0.81172
50,managed,17,12,7.3055
51,unmanaged,21,12,0.464676
51,managed,22,12,4.18209
52,unmanaged,21,7,0.258651
52,managed,22,7,2.32786
53,unmanaged,11,21,0.73457
53,managed,12,21,6.6112
54,unmanaged,4,15,0.070324
54,managed,5,15,0.63291
55,unmanaged,4,15,0.093963
55,managed,5,15,0.84566
56,unmanaged,11,21,0.48602
56,managed,12,21,4.37418
57,unmanaged,1,9,0.91464
57,managed,2,9,8.2318
58,unmanaged,26,13,1.17638
58,managed,27,13,10.5874
59,unmanaged,4,16,0.076951
59,managed,5,16,0.69256
60,unmanaged,11,11,0.298976
60,managed,12,11,2.69078
61,unmanaged,11,11,0.190089
61,managed,12,11,1.7108
62,unmanaged,11,12,0.3504
62,managed,12,12,3.1536
63,unmanaged,11,9,0.89946
63,managed,12,9,8.0952
64,unmanaged,11,9,0.188945
64,managed,12,9,1.70051
65,unmanaged,4,24,0.09092
65,managed,5,24,0.81828
66,unmanaged,4,24,0.131018
66,managed,5,24,1.17916
67,unmanaged,4,24,0.0476449
67,managed,5,24,0.428804
68,unmanaged,4,25,0.0232091
68,managed,5,25,0.208882
69,unmanaged,4,25,0.128784
69,managed,5,25,1.15905
70,unmanaged,4,25,0.0488369
70,managed,5,25,0.439532
71,unmanaged,4,25,0.253962
71,managed,5,25,2.28566
82,unmanaged,52,149,5.4231
83,unmanaged,53,114,0.0409352
83,managed,54,114,0.368417
84,unmanaged,56,154,0.344516
84,managed,57,154,1.37806
85,unmanaged,59,304,3.8952
86,unmanaged,60,149,0.0277675
86,managed,61,149,0.249908
87,unmanaged,63,114,0.337902
87,managed,64,114,3.04112
88,unmanaged,66,74,0.0362261
88,managed,67,74,0.326035
89,unmanaged,66,74,0.066797
89,managed,67,74,0.60117
90,unmanaged,69,74,1.45287
91,unmanaged,70,304,1.09723
91,managed,71,304,4.3889
92,unmanaged,73,114,0.444328
92,managed,74,114,3.99895
93,unmanaged,1,44,0.191847
93,managed,2,44,1.72663
94,unmanaged,11,64,0.130543
94,managed,12,64,1.17489
95,unmanaged,76,69,3.03159
96,unmanaged,77,144,2.34591
97,unmanaged,78,264,7.1104
98,unmanaged,79,304,4.27074
99,unmanaged,80,264,3.01047
100,unmanaged,80,264,1.28671
101,unmanaged,81,114,0.352681
101,managed,82,114,3.17413
102,unmanaged,81,114,0.083545
102,managed,82,114,0.75191
103,unmanaged,1,47,0.188424
103,managed,2,47,1.69582
104,unmanaged,84,74,2.08534
105,unmanaged,85,154,1.97894
105,managed,86,154,7.9158
106,unmanaged,88,304,4.25116
107,unmanaged,89,149,0.0121739
107,managed,90,149,0.109565
108,unmanaged,89,149,0.091459
108,managed,90,149,0.82313
109,unmanaged,89,149,0.057847
109,managed,90,149,0.52062
110,unmanaged,92,254,2.7397
114,unmanaged,93,149,0.156609
114,managed,94,149,0.62643
115,unmanaged,93,149,0.379882
115,managed,94,149,1.51953
116,unmanaged,96,154,0.071371
116,managed,97,154,0.64234
117,unmanaged,99,69,0.5076
117,managed,100,69,2.03038
121,unmanaged,102,149,0.23192
121,managed,103,149,2.08728
122,unmanaged,105,264,0.066006
122,managed,106,264,0.59405
123,unmanaged,108,264,0.294844
123,managed,109,264,2.6536
124,unmanaged,111,264,2.6315
125,unmanaged,111,264,1.24692
126,unmanaged,111,264,0.6264
127,unmanaged,112,304,3.44686
128,unmanaged,113,114,4.53032
129,unmanaged,16,54,0.174147
129,managed,17,54,1.56732
130,unmanaged,1,54,0.075466
130,managed,2,54,0.67919
131,unmanaged,114,304,3.03411
131,managed,115,304,12.1365
132,unmanaged,117,304,7.7606
133,unmanaged,118,244,1.66824
