TRACK,STRATA
58,1.0 x 0+treatment()+status(C)+au(2011)+auf(2011)+oper(Low Operability)+ct(N)+aux(761)
59,1.0 x 0+treatment()+status(N)+au(501)+auf(501)+oper(Reserve)+ct(N)+aux(501)
60,1.0 x 0+treatment()+status(N)+au(138)+auf(2021)+oper(Operable)+ct(N)+aux(138):R
61,1.0 x 0+treatment()+status(C)+au(138)+auf(2021)+oper(Operable)+ct(N)+aux(138)
62,1.0 x 0+treatment()+status(C)+au(2021)+auf(2021)+oper(Operable)+ct(N)+aux(138)
63,1.0 x 0+treatment()+status(N)+au(698)+auf(2021)+oper(Operable)+ct(N)+aux(698):R
64,1.0 x 0+treatment()+status(C)+au(698)+auf(2021)+oper(Operable)+ct(N)+aux(698)
65,1.0 x 0+treatment()+status(C)+au(2021)+auf(2021)+oper(Operable)+ct(N)+aux(698)
66,1.0 x 0+treatment()+status(N)+au(568)+auf(2021)+oper(Operable)+ct(N)+aux(568):R
67,1.0 x 0+treatment()+status(C)+au(568)+auf(2021)+oper(Operable)+ct(N)+aux(568)
68,1.0 x 0+treatment()+status(C)+au(2021)+auf(2021)+oper(Operable)+ct(N)+aux(568)
69,1.0 x 0+treatment()+status(N)+au(1044)+auf(1044)+oper(Reserve)+ct(N)+aux(1044)
70,1.0 x 0+treatment()+status(N)+au(648)+auf(2021)+oper(Low Operability)+ct(N)+aux(648):R
71,1.0 x 0+treatment()+status(C)+au(648)+auf(2021)+oper(Low Operability)+ct(N)+aux(648)
72,1.0 x 0+treatment()+status(C)+au(2021)+auf(2021)+oper(Low Operability)+ct(N)+aux(648)
73,1.0 x 0+treatment()+status(N)+au(511)+auf(2021)+oper(Operable)+ct(N)+aux(511):R
74,1.0 x 0+treatment()+status(C)+au(511)+auf(2021)+oper(Operable)+ct(N)+aux(511)
75,1.0 x 0+treatment()+status(C)+au(2021)+auf(2021)+oper(Operable)+ct(N)+aux(511)
76,1.0 x 0+treatment()+status(N)+au(2111)+auf(373)+oper(Reserve)+ct(N)+aux(2111)
77,1.0 x 0+treatment()+status(N)+au(907)+auf(907)+oper(Reserve)+ct(N)+aux(907)
78,1.0 x 0+treatment()+status(N)+au(693)+auf(693)+oper(Riparian)+ct(N)+aux(693)
79,1.0 x 0+treatment()+status(N)+au(422)+auf(422)+oper(Reserve)+ct(N)+aux(422)
80,1.0 x 0+treatment()+status(N)+au(662)+auf(662)+oper(Riparian)+ct(N)+aux(662)
81,1.0 x 0+treatment()+status(N)+au(509)+auf(2021)+oper(Operable)+ct(N)+aux(509):R
82,1.0 x 0+treatment()+status(C)+au(509)+auf(2021)+oper(Operable)+ct(N)+aux(509)
83,1.0 x 0+treatment()+status(C)+au(2021)+auf(2021)+oper(Operable)+ct(N)+aux(509)
84,1.0 x 0+treatment()+status(N)+au(414)+auf(414)+oper(Reserve)+ct(N)+aux(414)
85,1.0 x 0+treatment()+status(N)+au(647)+auf(2021)+oper(Low Operability)+ct(N)+aux(647):R
86,1.0 x 0+treatment()+status(C)+au(647)+auf(2021)+oper(Low Operability)+ct(N)+aux(647)
87,1.0 x 0+treatment()+status(C)+au(2021)+auf(2021)+oper(Low Operability)+ct(N)+aux(647)
88,1.0 x 0+treatment()+status(N)+au(420)+auf(420)+oper(Reserve)+ct(N)+aux(420)
89,1.0 x 0+treatment()+status(N)+au(740)+auf(2021)+oper(Operable)+ct(N)+aux(740):R
90,1.0 x 0+treatment()+status(C)+au(740)+auf(2021)+oper(Operable)+ct(N)+aux(740)
91,1.0 x 0+treatment()+status(C)+au(2021)+auf(2021)+oper(Operable)+ct(N)+aux(740)
92,1.0 x 0+treatment()+status(N)+au(903)+auf(903)+oper(Reserve)+ct(N)+aux(903)
93,1.0 x 0+treatment()+status(N)+au(467)+auf(2021)+oper(Low Operability)+ct(N)+aux(467):R
94,1.0 x 0+treatment()+status(C)+au(467)+auf(2021)+oper(Low Operability)+ct(N)+aux(467)
95,1.0 x 0+treatment()+status(C)+au(2021)+auf(2021)+oper(Low Operability)+ct(N)+aux(467)
96,1.0 x 0+treatment()+status(N)+au(510)+auf(2021)+oper(Operable)+ct(N)+aux(510):R
97,1.0 x 0+treatment()+status(C)+au(510)+auf(2021)+oper(Operable)+ct(N)+aux(510)
98,1.0 x 0+treatment()+status(C)+au(2021)+auf(2021)+oper(Operable)+ct(N)+aux(510)
99,1.0 x 0+treatment()+status(N)+au(2112)+auf(2012)+oper(Low Operability)+ct(N)+aux(2112):R
100,1.0 x 0+treatment()+status(C)+au(2112)+auf(2012)+oper(Low Operability)+ct(N)+aux(2112)
101,1.0 x 0+treatment()+status(C)+au(2012)+auf(2012)+oper(Low Operability)+ct(N)+aux(2112)
102,1.0 x 0+treatment()+status(N)+au(595)+auf(2011)+oper(Operable)+ct(N)+aux(595):R
103,1.0 x 0+treatment()+status(C)+au(595)+auf(2011)+oper(Operable)+ct(N)+aux(595)
104,1.0 x 0+treatment()+status(C)+au(2011)+auf(2011)+oper(Operable)+ct(N)+aux(595)
105,1.0 x 0+treatment()+status(N)+au(679)+auf(2021)+oper(Operable)+ct(N)+aux(679):R
106,1.0 x 0+treatment()+status(C)+au(679)+auf(2021)+oper(Operable)+ct(N)+aux(679)
107,1.0 x 0+treatment()+status(C)+au(2021)+auf(2021)+oper(Operable)+ct(N)+aux(679)
108,1.0 x 0+treatment()+status(N)+au(679)+auf(2011)+oper(Operable)+ct(N)+aux(679):R
109,1.0 x 0+treatment()+status(C)+au(679)+auf(2011)+oper(Operable)+ct(N)+aux(679)
110,1.0 x 0+treatment()+status(C)+au(2011)+auf(2011)+oper(Operable)+ct(N)+aux(679)
111,1.0 x 0+treatment()+status(N)+au(689)+auf(689)+oper(Reserve)+ct(N)+aux(689)
112,1.0 x 0+treatment()+status(N)+au(405)+auf(405)+oper(Reserve)+ct(N)+aux(405)
113,1.0 x 0+treatment()+status(N)+au(426)+auf(426)+oper(Reserve)+ct(N)+aux(426)
114,1.0 x 0+treatment()+status(N)+au(497)+auf(2021)+oper(Low Operability)+ct(N)+aux(497):R
115,1.0 x 0+treatment()+status(C)+au(497)+auf(2021)+oper(Low Operability)+ct(N)+aux(497)
116,1.0 x 0+treatment()+status(C)+au(2021)+auf(2021)+oper(Low Operability)+ct(N)+aux(497)
117,1.0 x 0+treatment()+status(N)+au(425)+auf(425)+oper(Reserve)+ct(N)+aux(425)
118,1.0 x 0+treatment()+status(N)+au(646)+auf(2021)+oper(Low Operability)+ct(N)+aux(646):R
119,1.0 x 0+treatment()+status(C)+au(646)+auf(2021)+oper(Low Operability)+ct(N)+aux(646)
120,1.0 x 0+treatment()+status(C)+au(2021)+auf(2021)+oper(Low Operability)+ct(N)+aux(646)
121,1.0 x 0+treatment()+status(N)+au(641)+auf(641)+oper(Riparian)+ct(N)+aux(641)
122,1.0 x 0+treatment()+status(N)+au(500)+auf(2011)+oper(Low Operability)+ct(N)+aux(500):R
123,1.0 x 0+treatment()+status(C)+au(500)+auf(2011)+oper(Low Operability)+ct(N)+aux(500)
124,1.0 x 0+treatment()+status(C)+au(2011)+auf(2011)+oper(Low Operability)+ct(N)+aux(500)
125,1.0 x 0+treatment()+status(N)+au(601)+auf(2021)+oper(Operable)+ct(N)+aux(601):R
126,1.0 x 0+treatment()+status(C)+au(601)+auf(2021)+oper(Operable)+ct(N)+aux(601)
127,1.0 x 0+treatment()+status(C)+au(2021)+auf(2021)+oper(Operable)+ct(N)+aux(601)
128,1.0 x 0+treatment()+status(N)+au(1019)+auf(2011)+oper(Operable)+ct(N)+aux(1019):R
129,1.0 x 0+treatment()+status(C)+au(1019)+auf(2011)+oper(Operable)+ct(N)+aux(1019)
130,1.0 x 0+treatment()+status(C)+au(2011)+auf(2011)+oper(Operable)+ct(N)+aux(1019)
131,1.0 x 0+treatment()+status(N)+au(356)+auf(2001)+oper(Operable)+ct(N)+aux(356):R
132,1.0 x 0+treatment()+status(C)+au(356)+auf(2001)+oper(Operable)+ct(N)+aux(356)
133,1.0 x 0+treatment()+status(C)+au(2001)+auf(2001)+oper(Operable)+ct(N)+aux(356)
134,1.0 x 0+treatment()+status(N)+au(1042)+auf(1042)+oper(Reserve)+ct(N)+aux(1042)
135,1.0 x 0+treatment()+status(N)+au(644)+auf(2021)+oper(Low Operability)+ct(N)+aux(644):R
136,1.0 x 0+treatment()+status(C)+au(644)+auf(2021)+oper(Low Operability)+ct(N)+aux(644)
137,1.0 x 0+treatment()+status(C)+au(2021)+auf(2021)+oper(Low Operability)+ct(N)+aux(644)
138,1.0 x 0+treatment()+status(N)+au(418)+auf(418)+oper(Reserve)+ct(N)+aux(418)
139,1.0 x 0+treatment()+status(N)+au(59)+auf(59)+oper(Reserve)+ct(N)+aux(59)
140,1.0 x 0+treatment()+status(N)+au(157)+auf(2021)+oper(Operable)+ct(N)+aux(157):R
141,1.0 x 0+treatment()+status(C)+au(157)+auf(2021)+oper(Operable)+ct(N)+aux(157)
142,1.0 x 0+treatment()+status(C)+au(2021)+auf(2021)+oper(Operable)+ct(N)+aux(157)
143,1.0 x 0+treatment()+status(N)+au(159)+auf(2021)+oper(Operable)+ct(N)+aux(159):R
144,1.0 x 0+treatment()+status(C)+au(159)+auf(2021)+oper(Operable)+ct(N)+aux(159)
145,1.0 x 0+treatment()+status(C)+au(2021)+auf(2021)+oper(Operable)+ct(N)+aux(159)
146,1.0 x 0+treatment()+status(N)+au(221)+auf(2011)+oper(Operable)+ct(N)+aux(221):R
147,1.0 x 0+treatment()+status(C)+au(221)+auf(2011)+oper(Operable)+ct(N)+aux(221)
148,1.0 x 0+treatment()+status(C)+au(2011)+auf(2011)+oper(Operable)+ct(N)+aux(221)
149,1.0 x 0+treatment()+status(N)+au(566)+auf(2021)+oper(Operable)+ct(N)+aux(566):R
150,1.0 x 0+treatment()+status(C)+au(566)+auf(2021)+oper(Operable)+ct(N)+aux(566)
151,1.0 x 0+treatment()+status(C)+au(2021)+auf(2021)+oper(Operable)+ct(N)+aux(566)
152,1.0 x 0+treatment()+status(N)+au(2121)+auf(683)+oper(Reserve)+ct(N)+aux(2121)
153,1.0 x 0+treatment()+status(N)+au(145)+auf(2011)+oper(Operable)+ct(N)+aux(145):R
154,1.0 x 0+treatment()+status(C)+au(145)+auf(2011)+oper(Operable)+ct(N)+aux(145)
155,1.0 x 0+treatment()+status(C)+au(2011)+auf(2011)+oper(Operable)+ct(N)+aux(145)
156,1.0 x 0+treatment()+status(N)+au(381)+auf(381)+oper(Reserve)+ct(N)+aux(381)
157,1.0 x 0+treatment()+status(N)+au(1032)+auf(2001)+oper(Operable)+ct(N)+aux(1032):R
158,1.0 x 0+treatment()+status(C)+au(1032)+auf(2001)+oper(Operable)+ct(N)+aux(1032)
159,1.0 x 0+treatment()+status(C)+au(2001)+auf(2001)+oper(Operable)+ct(N)+aux(1032)
160,1.0 x 0+treatment()+status(N)+au(521)+auf(2021)+oper(Operable)+ct(N)+aux(521):R
161,1.0 x 0+treatment()+status(C)+au(521)+auf(2021)+oper(Operable)+ct(N)+aux(521)
162,1.0 x 0+treatment()+status(C)+au(2021)+auf(2021)+oper(Operable)+ct(N)+aux(521)
163,1.0 x 0+treatment()+status(N)+au(694)+auf(2021)+oper(Operable)+ct(N)+aux(694):R
164,1.0 x 0+treatment()+status(C)+au(694)+auf(2021)+oper(Operable)+ct(N)+aux(694)
165,1.0 x 0+treatment()+status(C)+au(2021)+auf(2021)+oper(Operable)+ct(N)+aux(694)
166,1.0 x 0+treatment()+status(N)+au(350)+auf(2021)+oper(Operable)+ct(N)+aux(350):R
167,1.0 x 0+treatment()+status(C)+au(350)+auf(2021)+oper(Operable)+ct(N)+aux(350)
168,1.0 x 0+treatment()+status(C)+au(2021)+auf(2021)+oper(Operable)+ct(N)+aux(350)
169,1.0 x 0+treatment()+status(N)+au(404)+auf(404)+oper(Reserve)+ct(N)+aux(404)
170,1.0 x 0+treatment()+status(N)+au(594)+auf(2021)+oper(Operable)+ct(N)+aux(594):R
171,1.0 x 0+treatment()+status(C)+au(594)+auf(2021)+oper(Operable)+ct(N)+aux(594)
172,1.0 x 0+treatment()+status(C)+au(2021)+auf(2021)+oper(Operable)+ct(N)+aux(594)
173,1.0 x 0+treatment()+status(N)+au(639)+auf(2021)+oper(Low Operability)+ct(N)+aux(639):R
174,1.0 x 0+treatment()+status(C)+au(639)+auf(2021)+oper(Low Operability)+ct(N)+aux(639)
175,1.0 x 0+treatment()+status(C)+au(2021)+auf(2021)+oper(Low Operability)+ct(N)+aux(639)
176,1.0 x 0+treatment()+status(N)+au(406)+auf(406)+oper(Reserve)+ct(N)+aux(406)
177,1.0 x 0+treatment()+status(N)+au(407)+auf(407)+oper(Reserve)+ct(N)+aux(407)
178,1.0 x 0+treatment()+status(N)+au(410)+auf(410)+oper(Reserve)+ct(N)+aux(410)
179,1.0 x 0+treatment()+status(N)+au(640)+auf(2011)+oper(Low Operability)+ct(N)+aux(640):R
180,1.0 x 0+treatment()+status(C)+au(640)+auf(2011)+oper(Low Operability)+ct(N)+aux(640)
181,1.0 x 0+treatment()+status(C)+au(2011)+auf(2011)+oper(Low Operability)+ct(N)+aux(640)
182,1.0 x 0+treatment()+status(N)+au(904)+auf(904)+oper(Reserve)+ct(N)+aux(904)
183,1.0 x 0+treatment()+status(N)+au(977)+auf(2001)+oper(Operable)+ct(N)+aux(977):R
184,1.0 x 0+treatment()+status(C)+au(977)+auf(2001)+oper(Operable)+ct(N)+aux(977)
185,1.0 x 0+treatment()+status(C)+au(2001)+auf(2001)+oper(Operable)+ct(N)+aux(977)
186,1.0 x 0+treatment()+status(N)+au(230)+auf(2021)+oper(Operable)+ct(N)+aux(230):R
187,1.0 x 0+treatment()+status(C)+au(230)+auf(2021)+oper(Operable)+ct(N)+aux(230)
188,1.0 x 0+treatment()+status(C)+au(2021)+auf(2021)+oper(Operable)+ct(N)+aux(230)
189,1.0 x 0+treatment()+status(N)+au(243)+auf(2021)+oper(Operable)+ct(N)+aux(243):R
190,1.0 x 0+treatment()+status(C)+au(243)+auf(2021)+oper(Operable)+ct(N)+aux(243)
191,1.0 x 0+treatment()+status(C)+au(2021)+auf(2021)+oper(Operable)+ct(N)+aux(243)
192,1.0 x 0+treatment()+status(N)+au(416)+auf(416)+oper(Reserve)+ct(N)+aux(416)
193,1.0 x 0+treatment()+status(N)+au(527)+auf(2011)+oper(Operable)+ct(N)+aux(527):R
194,1.0 x 0+treatment()+status(C)+au(527)+auf(2011)+oper(Operable)+ct(N)+aux(527)
195,1.0 x 0+treatment()+status(C)+au(2011)+auf(2011)+oper(Operable)+ct(N)+aux(527)
196,1.0 x 0+treatment()+status(N)+au(556)+auf(2011)+oper(Low Operability)+ct(N)+aux(556):R
197,1.0 x 0+treatment()+status(C)+au(556)+auf(2011)+oper(Low Operability)+ct(N)+aux(556)
198,1.0 x 0+treatment()+status(C)+au(2011)+auf(2011)+oper(Low Operability)+ct(N)+aux(556)
199,1.0 x 0+treatment()+status(N)+au(602)+auf(2011)+oper(Operable)+ct(N)+aux(602):R
200,1.0 x 0+treatment()+status(C)+au(602)+auf(2011)+oper(Operable)+ct(N)+aux(602)
201,1.0 x 0+treatment()+status(C)+au(2011)+auf(2011)+oper(Operable)+ct(N)+aux(602)
202,1.0 x 0+treatment()+status(N)+au(634)+auf(2021)+oper(Operable)+ct(N)+aux(634):R
203,1.0 x 0+treatment()+status(C)+au(634)+auf(2021)+oper(Operable)+ct(N)+aux(634)
204,1.0 x 0+treatment()+status(C)+au(2021)+auf(2021)+oper(Operable)+ct(N)+aux(634)
205,1.0 x 0+treatment()+status(N)+au(725)+auf(2021)+oper(Operable)+ct(N)+aux(725):R
206,1.0 x 0+treatment()+status(C)+au(725)+auf(2021)+oper(Operable)+ct(N)+aux(725)
207,1.0 x 0+treatment()+status(C)+au(2021)+auf(2021)+oper(Operable)+ct(N)+aux(725)
