BLOCK,TYPE,TRACK,OFFSET,AREA
129,unmanaged,221,54,0.174147
129,managed,222,54,1.56732
130,unmanaged,225,54,0.075466
130,managed,226,54,0.67919
131,unmanaged,228,304,3.03411
131,managed,229,304,12.1365
132,unmanaged,231,304,7.7606
133,unmanaged,232,244,1.66824
133,managed,233,244,6.673
134,unmanaged,235,304,2.84501
135,unmanaged,236,254,0.81975
135,managed,237,254,3.27898
136,unmanaged,239,54,0.205496
136,managed,240,54,1.84947
137,unmanaged,243,79,0.176782
137,managed,244,79,1.59104
138,unmanaged,246,74,0.129024
138,managed,247,74,1.16122
139,unmanaged,249,119,0.116052
139,managed,250,119,1.04446
140,unmanaged,252,74,1.64799
141,unmanaged,253,304,3.44484
141,managed,254,304,13.7794
142,unmanaged,256,304,2.26304
143,unmanaged,257,149,0.86171
144,unmanaged,258,114,0.21918
144,managed,259,114,1.97262
145,unmanaged,261,129,0.25538
145,managed,262,129,2.29842
146,unmanaged,261,129,0.227395
146,managed,262,129,2.04655
147,unmanaged,264,204,0.11613
147,managed,265,204,1.04517
148,unmanaged,264,204,0.031867
148,managed,265,204,0.286803
149,unmanaged,267,49,0.078887
149,managed,268,49,0.70998
151,unmanaged,271,149,0.213759
151,managed,272,149,1.92383
152,unmanaged,274,52,2.00154
153,unmanaged,274,52,3.02915
154,unmanaged,275,34,0.181272
154,managed,276,34,1.63145
155,unmanaged,275,34,0.150137
155,managed,276,34,1.35123
156,unmanaged,275,34,0.067635
156,managed,276,34,0.60871
157,unmanaged,279,149,0.465723
157,managed,280,149,4.19151
158,unmanaged,282,15,0.162994
158,managed,283,15,1.46694
159,unmanaged,285,49,0.198585
159,managed,286,49,1.78726
160,unmanaged,288,204,0.51183
161,unmanaged,288,204,1.24822
162,unmanaged,289,49,0.102243
162,managed,290,49,0.92019
163,unmanaged,289,49,0.0280271
163,managed,290,49,0.252244
164,unmanaged,293,114,0.190634
164,managed,294,114,1.71571
165,unmanaged,296,79,1.18755
165,managed,297,79,10.6879
166,unmanaged,299,154,0.152106
166,managed,300,154,1.36896
167,unmanaged,302,13,0.251615
167,managed,303,13,2.26454
168,unmanaged,302,13,0.0106192
168,managed,303,13,0.095573
169,unmanaged,306,149,0.080977
169,managed,307,149,0.72879
170,unmanaged,309,304,40.9085
171,unmanaged,310,149,0.082737
171,managed,311,149,0.74463
172,unmanaged,310,149,0.0446005
172,managed,311,149,0.401404
173,unmanaged,310,149,0.0104407
173,managed,311,149,0.093966
174,unmanaged,313,304,0.468091
174,managed,314,304,1.87237
175,unmanaged,316,304,0.87672
176,unmanaged,317,304,0.177692
177,unmanaged,318,304,4.53018
178,unmanaged,319,304,1.01365
178,managed,320,304,4.05461
179,unmanaged,322,16,0.0336602
179,managed,323,16,0.302942
184,unmanaged,326,49,0.0276524
184,managed,327,49,0.248871
185,unmanaged,326,49,0.140038
185,managed,327,49,1.26034
188,unmanaged,330,254,5.0797
189,unmanaged,331,74,0.057666
189,managed,332,74,0.51899
190,unmanaged,334,129,0.311122
190,managed,335,129,2.8001
191,unmanaged,334,129,0.0139094
191,managed,335,129,0.125184
192,unmanaged,337,149,0.153773
192,managed,338,149,1.38396
193,unmanaged,340,74,2.13904
194,unmanaged,341,79,0.241906
194,managed,342,79,2.17716
195,unmanaged,344,79,0.302372
195,managed,345,79,1.20949
196,unmanaged,347,79,0.65519
196,managed,348,79,5.8967
197,unmanaged,347,79,0.0177826
197,managed,348,79,0.160043
198,unmanaged,350,114,0.227043
198,managed,351,114,2.04339
199,unmanaged,353,118,0.78431
199,managed,354,118,7.0588
200,unmanaged,356,149,0.0468894
200,managed,357,149,0.422005
201,unmanaged,356,149,0.121566
201,managed,357,149,1.0941
202,unmanaged,356,149,0.0149772
202,managed,357,149,0.134795
203,unmanaged,359,174,4.08367
203,managed,360,174,16.3347
204,unmanaged,362,149,0.286336
204,managed,363,149,2.57703
205,unmanaged,365,149,18.1222
206,unmanaged,366,149,0.66693
207,unmanaged,367,139,0.93759
207,managed,368,139,3.75036
208,unmanaged,370,69,0.127625
208,managed,371,69,1.14862
209,unmanaged,370,69,0.082331
209,managed,371,69,0.74098
210,unmanaged,370,69,0.334047
210,managed,371,69,3.00642
211,unmanaged,374,18,0.093593
211,managed,375,18,0.84234
214,unmanaged,378,154,0.079089
214,managed,379,154,0.7118
215,unmanaged,381,104,0.166936
215,managed,382,104,1.50242
216,unmanaged,384,84,0.183214
216,managed,385,84,0.73286
217,unmanaged,387,149,2.63563
218,unmanaged,387,149,1.81264
219,unmanaged,387,149,2.5154
220,unmanaged,388,41,0.112541
220,managed,389,41,1.01287
221,unmanaged,392,74,0.154719
221,managed,393,74,1.39247
222,unmanaged,392,74,0.103691
222,managed,393,74,0.93322
223,unmanaged,395,149,0.93168
223,managed,396,149,3.72671
224,unmanaged,398,69,0.164593
224,managed,399,69,1.48134
225,unmanaged,402,79,0.175326
225,managed,403,79,1.57793
226,unmanaged,405,39,0.142371
226,managed,406,39,1.28134
227,unmanaged,409,79,0.310055
227,managed,410,79,2.7905
228,unmanaged,412,74,5.6271
229,unmanaged,413,114,0.62924
229,managed,414,114,5.6631
230,unmanaged,416,59,0.331573
230,managed,417,59,2.98415
231,unmanaged,416,59,0.0455332
231,managed,417,59,0.409799
232,unmanaged,420,74,1.55862
232,managed,421,74,6.2345
233,unmanaged,423,154,0.87654
233,managed,424,154,3.50616
234,unmanaged,426,154,2.38309
234,managed,427,154,9.5324
235,unmanaged,426,154,0.115665
235,managed,427,154,0.462662
236,unmanaged,426,154,0.098941
236,managed,427,154,0.395763
237,unmanaged,429,144,3.36921
238,unmanaged,430,39,0.068922
238,managed,431,39,0.6203
239,unmanaged,434,154,0.074672
239,managed,435,154,0.67204
240,unmanaged,437,79,0.91542
241,unmanaged,437,79,7.1809
242,unmanaged,438,149,3.62487
243,unmanaged,439,149,0.05427
243,managed,440,149,0.217081
244,unmanaged,442,304,7.2313
245,unmanaged,443,149,0.42466
245,managed,444,149,1.69864
246,unmanaged,446,79,0.268007
246,managed,447,79,2.41206
247,unmanaged,449,39,0.165146
247,managed,450,39,1.48632
248,unmanaged,453,114,0.65051
248,managed,454,114,5.8546
249,unmanaged,456,9,0.396163
249,managed,457,9,3.56547
250,unmanaged,459,79,0.158329
250,managed,460,79,1.42496
251,unmanaged,462,304,10.5456
252,unmanaged,463,17,0.250759
252,managed,464,17,2.25683
253,unmanaged,466,84,1.66319
253,managed,467,84,14.9687
254,unmanaged,466,84,0.52841
